country,field,disclosed_investment,estimated_investment
Denmark,Biotechnology,19,62
Denmark,Information Technology,124,1179
Denmark,Energy and natural resources,24,124
Denmark,General purpose,515,2202
Denmark,Media and Entertainment,75,550
Denmark,All,1155,3625
Denmark,Speech Recognition,25,115
Denmark,Software,543,2697
Denmark,Other,84,572
Denmark,"Sales, retail, commerce, marketing",71,170
Denmark,Professional services,71,525
Denmark,Robotics,78,91
Denmark,Data and analytics,389,2448
Denmark,"Mobile, platforms & Internet services",185,283
Denmark,Manufacturing,226,317
Denmark,Hardware,236,436
Denmark,Agriculture,29,33
Egypt,Software,23,102
Egypt,All,89,178
Estonia,Information Technology,114,166
Estonia,Hardware,47,56
Estonia,General purpose,162,283
Estonia,Data and analytics,159,289
Estonia,"Mobile, platforms & Internet services",28,46
Estonia,Real estate,21,23
Estonia,Cyber Security,77,100
Estonia,Software,188,315
Estonia,Finance,92,130
Estonia,Privacy and Security,97,139
Estonia,All,472,624
Finland,Information Technology,1250,4882
Finland,Biotechnology,30,30
Finland,Hardware,917,1588
Finland,General purpose,1150,7771
Finland,Real estate,160,190
Finland,Manufacturing,339,403
Finland,Transportation,826,835
Finland,"Mobile, platforms & Internet services",110,2526
Finland,Healthcare and Life Sciences,54,64
Finland,Other,26,1619
Finland,"Sales, retail, commerce, marketing",1139,2060
Finland,Education,21,31
Finland,Data and analytics,1960,8984
Finland,All,3027,11114
Finland,Software,1985,9142
France,Finance,374,1260
France,Information Technology,2236,8320
France,Privacy and Security,309,432
France,Data and analytics,4095,18891
France,"Sales, retail, commerce, marketing",916,4532
France,Semiconductor,126,421
France,General purpose,4141,16693
France,"Mobile, platforms & Internet services",935,5448
France,NLP,355,1365
France,Education,133,1611
France,Robotics,181,911
France,Energy and natural resources,142,565
France,Telecommunications,231,1144
France,Navigation and mapping,28,50
France,Software,4708,20645
France,Consumer goods,167,1127
France,All,15264,33354
France,Transportation,333,1327
France,Sports,75,156
France,Media and Entertainment,146,1385
France,Real estate,128,352
France,Community and Lifestyle,52,700
France,Hardware,1317,4614
France,Professional services,610,2959
France,Healthcare and Life Sciences,719,1401
France,"Military, public safety and government",253,257
France,Biotechnology,131,341
France,Computer Vision,592,1174
France,Cyber Security,56,144
France,Manufacturing,206,686
France,Other,447,3687
Germany,Finance,642,4768
Germany,Consumer goods,943,3412
Germany,Real estate,127,1684
Germany,Education,168,969
Germany,General purpose,6076,29708
Germany,Semiconductor,258,278
Germany,Other,2394,5425
Germany,Lending and Investments,210,1194
Germany,Hardware,1653,7811
Germany,Privacy and Security,242,3301
Germany,"Military, public safety and government",755,1018
Germany,NLP,97,639
Germany,Information Technology,3443,18611
Germany,"Mobile, platforms & Internet services",586,9056
Germany,Software,7063,37636
Germany,Professional services,1731,7367
Germany,Media and Entertainment,146,1291
Germany,All,20590,58287
Germany,"Sales, retail, commerce, marketing",1547,7388
Germany,Energy and natural resources,189,2078
Germany,Computer Vision,78,1970
Germany,Community and Lifestyle,245,713
Germany,Robotics,496,1071
Germany,Agriculture,318,468
Germany,Navigation and mapping,383,762
Germany,Data and analytics,5800,30702
Germany,Manufacturing,1605,4741
Germany,Biotechnology,162,1039
Germany,Telecommunications,25,372
Germany,Cyber Security,54,924
Germany,Transportation,1431,9895
Germany,Healthcare and Life Sciences,348,1351
Ghana,All,71,99
Greece,All,289,899
Greece,Hardware,115,398
Greece,Transportation,23,236
Greece,Agriculture,115,225
Greece,General purpose,132,411
Greece,Software,153,653
Greece,Computer Vision,114,224
Greece,Data and analytics,152,593
Hungary,All,146,179
Hungary,Data and analytics,60,88
Hungary,"Mobile, platforms & Internet services",24,30
Hungary,General purpose,52,79
Hungary,Software,61,89
Iceland,All,123,136
Iceland,General purpose,34,36
Iceland,Software,51,59
Iceland,Data and analytics,49,52
India,All,36152,49053
India,Other,1163,1554
India,Lending and Investments,145,374
India,Data and analytics,4873,13515
India,Education,469,865
India,Agriculture,94,539
India,Simulation,165,166
India,Semiconductor,289,289
India,"Sales, retail, commerce, marketing",811,1246
India,Finance,703,1166
India,Community and Lifestyle,870,995
India,Speech Recognition,66,102
India,Consumer goods,15081,15413
India,Information Technology,18240,20014
India,Gaming,71,80
India,Robotics,91,140
India,Healthcare and Life Sciences,216,1150
India,Software,20760,29816
India,Navigation and mapping,109,116
India,NLP,57,194
India,Media and Entertainment,407,553
India,Real estate,113,207
India,Hardware,16533,21745
India,General purpose,4408,8237
India,Professional services,1252,1836
India,Transportation,420,647
India,Privacy and Security,56,267
India,"Mobile, platforms & Internet services",16377,17585
India,Manufacturing,172,326
India,Computer Vision,33,141
India,Energy and natural resources,119,511
India,Telecommunications,175,240
Indonesia,Software,131,559
Indonesia,All,316,848
Indonesia,Biotechnology,30,35
Indonesia,"Mobile, platforms & Internet services",81,147
Indonesia,Healthcare and Life Sciences,25,34
Indonesia,General purpose,127,516
Indonesia,Data and analytics,129,320
Indonesia,Information Technology,81,454
Ireland,Hardware,140,476
Ireland,Data and analytics,1200,2530
Ireland,"Mobile, platforms & Internet services",219,700
Ireland,Community and Lifestyle,207,435
Ireland,Privacy and Security,96,223
Ireland,Professional services,394,518
Ireland,Biotechnology,62,64
Ireland,"Sales, retail, commerce, marketing",346,763
Ireland,Real estate,28,148
Ireland,Information Technology,321,787
Ireland,Sports,42,59
Ireland,Manufacturing,23,85
Ireland,Finance,496,653
Ireland,General purpose,1061,2198
Ireland,Healthcare and Life Sciences,58,142
Ireland,Media and Entertainment,152,268
Ireland,Education,360,409
Ireland,Other,183,244
Ireland,Software,1013,2458
Ireland,Transportation,378,398
Ireland,Consumer goods,30,202
Ireland,All,2139,3771
Ireland,Cyber Security,57,105
Ireland,NLP,33,285
Israel,Consumer goods,395,3361
Israel,Hardware,5368,13265
Israel,Media and Entertainment,2355,4990
Israel,"Military, public safety and government",96,187
Israel,Healthcare and Life Sciences,972,4137
Israel,Gaming,33,144
Israel,NLP,395,2554
Israel,Energy and natural resources,146,575
Israel,Navigation and mapping,54,215
Israel,"Mobile, platforms & Internet services",3295,11926
Israel,Cyber Security,488,1608
Israel,Manufacturing,347,970
Israel,General purpose,12134,30563
Israel,Information Technology,7780,18324
Israel,All,24971,51677
Israel,Other,377,2286
Israel,Speech Recognition,21,32
Israel,Biotechnology,159,954
Israel,Transportation,985,1710
Israel,Sports,234,531
Israel,Data and analytics,12928,33730
Israel,Privacy and Security,1153,3620
Israel,Agriculture,447,811
Israel,Real estate,249,678
Israel,Telecommunications,19,1069
Israel,"Sales, retail, commerce, marketing",485,5011
Israel,Software,13426,36525
Israel,Robotics,991,1173
Israel,Finance,2885,3979
Israel,Semiconductor,232,688
Israel,Professional services,364,2437
Israel,Community and Lifestyle,595,1321
Israel,Computer Vision,941,1351
Italy,Information Technology,317,756
Italy,Healthcare and Life Sciences,34,46
Italy,"Sales, retail, commerce, marketing",61,299
Italy,Media and Entertainment,24,33
Italy,Robotics,21,26
Italy,"Mobile, platforms & Internet services",136,588
Italy,Manufacturing,25,31
Italy,General purpose,504,1456
Italy,Energy and natural resources,166,169
Italy,Data and analytics,514,1705
Italy,Cyber Security,51,197
Italy,NLP,34,37
Italy,Finance,40,124
Italy,Privacy and Security,56,201
Italy,Hardware,234,329
Italy,All,1152,2479
Italy,Professional services,67,173
Italy,Software,543,1763
Italy,Biotechnology,48,54
Italy,Other,173,176
Jamaica,All,50,51
Jamaica,Media and Entertainment,50,50
Jamaica,Software,50,51
Jamaica,General purpose,50,50
Jamaica,Data and analytics,50,50
Japan,Healthcare and Life Sciences,257,577
Japan,"Mobile, platforms & Internet services",1514,2533
Japan,All,10111,15486
Japan,Semiconductor,52,53
Japan,Software,4702,9317
Japan,Computer Vision,165,546
Japan,Education,70,670
Japan,Transportation,2041,2274
Japan,Telecommunications,23,43
Japan,Finance,828,906
Japan,Privacy and Security,211,637
Japan,"Sales, retail, commerce, marketing",218,789
Japan,Media and Entertainment,450,1385
Japan,Real estate,28,66
Japan,Information Technology,3036,4856
Japan,Biotechnology,216,238
Japan,Energy and natural resources,80,117
Japan,Data and analytics,4268,8533
Japan,Lending and Investments,86,95
Japan,NLP,107,111
Japan,Professional services,977,2228
Japan,Consumer goods,327,397
Japan,Other,180,268
Japan,Community and Lifestyle,86,317
Japan,Robotics,1953,2319
Japan,Hardware,2459,3518
Japan,General purpose,4127,8172
Japan,Manufacturing,597,875
Kenya,Information Technology,33,58
Kenya,Finance,32,65
Kenya,Data and analytics,34,73
Kenya,Software,35,79
Kenya,All,103,202
Kenya,Agriculture,31,41
Latvia,All,24,30
Lithuania,Software,25,52
Lithuania,All,412,441
Lithuania,Finance,100,102
Lithuania,Information Technology,110,117
Lithuania,General purpose,23,40
Lithuania,Lending and Investments,100,100
Luxembourg,Media and Entertainment,23,295
Luxembourg,Data and analytics,44,328
Luxembourg,Software,52,335
Luxembourg,General purpose,45,328
Luxembourg,Information Technology,38,310
Luxembourg,All,127,412
Luxembourg,"Mobile, platforms & Internet services",26,305
Malaysia,Other,23,100
Malaysia,Software,334,729
Malaysia,Finance,51,56
Malaysia,Consumer goods,24,52
Malaysia,General purpose,295,668
Malaysia,"Sales, retail, commerce, marketing",134,138
Malaysia,All,506,940
Malaysia,Professional services,139,164
Malaysia,Information Technology,54,104
Malaysia,Robotics,63,63
Malaysia,Hardware,104,156
Malaysia,Lending and Investments,50,50
Malaysia,"Mobile, platforms & Internet services",25,39
Malaysia,Data and analytics,298,672
Mauritius,All,66,166
Mauritius,Finance,35,48
Mauritius,Lending and Investments,35,48
Mexico,Transportation,34,48
Mexico,General purpose,131,827
Mexico,Data and analytics,356,1087
Mexico,Software,301,1049
Mexico,"Sales, retail, commerce, marketing",41,139
Mexico,"Mobile, platforms & Internet services",25,93
Mexico,Hardware,59,66
Mexico,NLP,57,57
Mexico,Information Technology,88,512
Mexico,Computer Vision,56,56
Mexico,Lending and Investments,48,53
Mexico,Real estate,29,33
Mexico,Finance,305,347
Mexico,All,905,1691
Netherlands,"Military, public safety and government",40,43
Netherlands,Manufacturing,49,64
Netherlands,All,3241,11509
Netherlands,Hardware,755,2648
Netherlands,Facial Recognition,101,103
Netherlands,Data and analytics,1423,8230
Netherlands,Robotics,107,259
Netherlands,Community and Lifestyle,114,129
Netherlands,"Sales, retail, commerce, marketing",240,1869
Netherlands,Computer Vision,112,440
Netherlands,Media and Entertainment,114,575
Netherlands,"Mobile, platforms & Internet services",437,2094
Netherlands,Semiconductor,171,176
Netherlands,Healthcare and Life Sciences,109,805
Netherlands,Energy and natural resources,96,202
Netherlands,Software,1804,8850
Netherlands,Professional services,191,977
Netherlands,Lending and Investments,334,357
Netherlands,Information Technology,926,4653
Netherlands,Finance,556,1316
Netherlands,Consumer goods,61,482
Netherlands,Privacy and Security,298,632
Netherlands,Biotechnology,145,252
Netherlands,Real estate,205,477
Netherlands,Agriculture,33,43
