country,field,disclosed_investment,estimated_investment
United Kingdom,Other,1805,4289
United Kingdom,Media and Entertainment,2672,4250
United Kingdom,Community and Lifestyle,618,965
United Kingdom,Software,16134,32581
United Kingdom,Agriculture,70,404
United Kingdom,"Mobile, platforms & Internet services",5148,9520
United Kingdom,"Sales, retail, commerce, marketing",2540,5516
United Kingdom,Manufacturing,289,827
United Kingdom,Semiconductor,1008,1115
United Kingdom,Transportation,1233,2011
United Kingdom,Navigation and mapping,73,190
United States,Telecommunications,2366,12627
United States,Cyber Security,14627,29438
United States,"Mobile, platforms & Internet services",70764,162774
United States,"Sales, retail, commerce, marketing",26153,90875
United States,Lending and Investments,6481,12169
United States,Professional services,25117,77829
United States,Gaming,721,2309
United States,Consumer goods,15433,36633
United States,Hardware,88541,161348
United States,Agriculture,3398,6501
United States,Facial Recognition,240,638
United States,Education,4249,18712
United States,NLP,22845,41154
United States,Simulation,74,1101
United States,Data and analytics,281510,626404
United States,General purpose,265535,563565
United States,Energy and natural resources,4061,15241
United States,Software,289740,666588
United States,Healthcare and Life Sciences,35378,85750
United States,Biotechnology,18989,35365
United States,Community and Lifestyle,3608,15781
United States,Navigation and mapping,1275,8126
United States,Semiconductor,7439,10083
United States,Transportation,43013,67306
United States,Information Technology,120393,275426
United States,Real estate,5955,18676
United States,Computer Vision,21667,32145
United States,All,805287,1234216
United States,Finance,37342,78712
United States,Other,32462,78353
United States,"Military, public safety and government",6033,13624
United States,Manufacturing,14094,30039
United States,Robotics,9076,19349
United States,Sports,1566,5616
United States,Privacy and Security,26720,55672
United States,Speech Recognition,1021,3754
United States,Media and Entertainment,10479,37898
Uruguay,All,31,138
Vietnam,All,151,419
Vietnam,General purpose,102,331
Vietnam,Finance,91,96
Vietnam,Information Technology,83,102
Vietnam,Real estate,81,83
Vietnam,Software,103,339
Vietnam,Other,87,98
Vietnam,Data and analytics,103,337
Argentina,Telecommunications,0,344
Argentina,"Military, public safety and government",0,0
Argentina,NLP,0,345
Armenia,Agriculture,0,0
Armenia,"Sales, retail, commerce, marketing",0,0
Armenia,Hardware,0,0
Armenia,Consumer goods,0,0
Austria,Agriculture,0,1
Bahrain,Cyber Security,0,0
Bahrain,Facial Recognition,0,0
Bahrain,Finance,0,7
Bahrain,Privacy and Security,0,0
Bahrain,Professional services,0,202
Bahrain,Information Technology,0,0
Barbados,All,0,18
Barbados,Software,0,18
Barbados,Data and analytics,0,18
Belarus,Navigation and mapping,0,4
Belarus,Other,0,0
Belarus,"Mobile, platforms & Internet services",0,4
Belarus,Information Technology,0,2
Belgium,Simulation,0,1
Bolivia,"Mobile, platforms & Internet services",0,1
Bolivia,Data and analytics,0,1
Bolivia,General purpose,0,1
Bolivia,Navigation and mapping,0,1
Bosnia and Herzegovina,Manufacturing,0,0
Bosnia and Herzegovina,Hardware,0,0
Bosnia and Herzegovina,Agriculture,0,0
Chile,Sports,0,0
Colombia,Sports,0,0
Costa Rica,"Sales, retail, commerce, marketing",0,0
Croatia,Media and Entertainment,0,167
Cyprus,Telecommunications,0,1
Czechia,Simulation,0,1
Denmark,Lending and Investments,0,20
Denmark,Sports,0,0
Ecuador,Finance,0,3
Egypt,Speech Recognition,0,0
El Salvador,Professional services,0,0
Estonia,NLP,0,5
Ethiopia,Healthcare and Life Sciences,0,0
Ethiopia,All,0,0
Ethiopia,Data and analytics,0,0
Ethiopia,General purpose,0,0
Ethiopia,Software,0,0
Ethiopia,Community and Lifestyle,0,0
Georgia,Other,0,1
Georgia,Finance,0,1
Georgia,Healthcare and Life Sciences,0,2
Greece,Real estate,0,0
Greece,NLP,0,3
Greece,Other,0,53
Greece,Biotechnology,0,0
Guatemala,All,0,6
Guatemala,Finance,0,6
Guatemala,Lending and Investments,0,6
Guatemala,"Mobile, platforms & Internet services",0,6
Iceland,Navigation and mapping,0,0
Indonesia,Robotics,0,220
Indonesia,Consumer goods,0,2
Indonesia,Privacy and Security,0,8
Indonesia,Education,0,8
Iran,NLP,0,0
Iran,"Sales, retail, commerce, marketing",0,0
Iran,Professional services,0,0
Ireland,Facial Recognition,0,55
Jamaica,Information Technology,0,1
Jordan,Consumer goods,0,0
Jordan,Manufacturing,0,0
Jordan,Hardware,0,0
Kuwait,"Sales, retail, commerce, marketing",0,1
Kuwait,Information Technology,0,7
Kuwait,Other,0,1
Latvia,NLP,0,0
Latvia,Media and Entertainment,0,0
Latvia,Computer Vision,0,0
Lebanon,Transportation,0,0
Lebanon,Lending and Investments,0,0
Lebanon,Energy and natural resources,0,0
Lebanon,Information Technology,0,0
Lithuania,Transportation,0,2
Lithuania,Gaming,0,3
Luxembourg,Professional services,0,272
Luxembourg,Education,0,272
Madagascar,General purpose,0,6
Madagascar,All,0,6
Malaysia,Energy and natural resources,0,16
Malaysia,Gaming,0,3
Malaysia,Navigation and mapping,0,3
Malta,Healthcare and Life Sciences,0,37
Mauritius,Other,0,75
Mexico,Telecommunications,0,31
Mexico,Cyber Security,0,20
Morocco,Finance,0,1
Morocco,"Mobile, platforms & Internet services",0,2
Morocco,Other,0,0
Morocco,Manufacturing,0,0
Morocco,Hardware,0,2
Netherlands,Gaming,0,378
New Zealand,NLP,0,1
Nigeria,Gaming,0,2
Oman,Professional services,0,0
Oman,Information Technology,0,0
Pakistan,Telecommunications,0,2
Pakistan,Agriculture,0,0
Pakistan,Finance,0,2
Pakistan,Computer Vision,0,0
Paraguay,Sports,0,0
Paraguay,Healthcare and Life Sciences,0,0
Paraguay,Community and Lifestyle,0,0
Peru,Lending and Investments,0,0
Peru,Other,0,0
Peru,Finance,0,1
Peru,Energy and natural resources,0,0
Philippines,Transportation,0,4
Philippines,Agriculture,0,22
Philippines,NLP,0,1
Philippines,Education,0,31
Qatar,Media and Entertainment,0,1
Qatar,"Mobile, platforms & Internet services",0,124
Romania,Lending and Investments,0,1
Russia,Robotics,0,4
Russia,Agriculture,0,0
Saudi Arabia,Robotics,0,1
Saudi Arabia,Telecommunications,0,2
Senegal,Information Technology,0,5
Senegal,General purpose,0,5
Senegal,Consumer goods,0,5
Senegal,All,0,5
Senegal,Software,0,5
Senegal,Data and analytics,0,5
Seychelles,Other,0,35
Seychelles,"Mobile, platforms & Internet services",0,35
Slovakia,Education,0,1
Slovakia,Biotechnology,0,1
Slovakia,NLP,0,1
Slovakia,Robotics,0,0
Slovenia,Professional services,0,0
Slovenia,Consumer goods,0,0
Slovenia,NLP,0,0
Slovenia,"Sales, retail, commerce, marketing",0,0
Slovenia,Manufacturing,0,0
Slovenia,Media and Entertainment,0,0
South Africa,Facial Recognition,0,3
South Africa,Telecommunications,0,1
South Africa,Computer Vision,0,56
Sweden,"Military, public safety and government",0,10
Switzerland,Facial Recognition,0,0
Taiwan,Facial Recognition,0,11
Thailand,Education,0,7
Thailand,Media and Entertainment,0,8
Thailand,Robotics,0,1
Thailand,NLP,0,1
Tunisia,Manufacturing,0,0
Tunisia,Sports,0,0
Tunisia,Computer Vision,0,0
Ukraine,NLP,0,0
Ukraine,Computer Vision,0,0
Ukraine,Semiconductor,0,0
Ukraine,Simulation,0,0
Uruguay,Computer Vision,0,0
Uruguay,Other,0,100
Uruguay,NLP,0,0
Uruguay,Media and Entertainment,0,0
Venezuela,NLP,0,0
Venezuela,General purpose,0,0
Vietnam,Agriculture,0,2
Vietnam,Computer Vision,0,3
Algeria,Software,0,0
Algeria,Agriculture,0,0
Algeria,Information Technology,0,0
Algeria,Other,0,0
Algeria,General purpose,0,0
Algeria,Data and analytics,0,0
Algeria,All,0,0
Argentina,Computer Vision,0,0
Argentina,Transportation,0,0
Argentina,Manufacturing,0,0
Argentina,"Sales, retail, commerce, marketing",0,0
Argentina,Navigation and mapping,0,0
Argentina,Media and Entertainment,0,0
Argentina,Community and Lifestyle,0,2
Armenia,Professional services,0,0
Armenia,Other,0,0
Armenia,Finance,0,0
Armenia,Biotechnology,0,3
Azerbaijan,Software,0,0
Azerbaijan,General purpose,0,0
Azerbaijan,Professional services,0,0
Azerbaijan,Data and analytics,0,0
Azerbaijan,Simulation,0,0
Azerbaijan,Education,0,0
Azerbaijan,"Mobile, platforms & Internet services",0,0
Azerbaijan,All,0,0
Azerbaijan,Information Technology,0,0
Bahrain,Software,0,195
Bahrain,Data and analytics,0,202
Bahrain,Biotechnology,0,0
Bahrain,"Sales, retail, commerce, marketing",0,0
Bahrain,All,0,202
Bahrain,"Mobile, platforms & Internet services",0,0
Bahrain,Healthcare and Life Sciences,0,0
Bahrain,General purpose,0,202
Bahrain,Hardware,0,0
Bahrain,Transportation,0,0
Bangladesh,Professional services,0,0
Bangladesh,Computer Vision,0,0
Bangladesh,Transportation,0,4
Bangladesh,Hardware,0,0
Bangladesh,Agriculture,0,0
Bangladesh,"Sales, retail, commerce, marketing",0,0
Bangladesh,Healthcare and Life Sciences,0,0
Bangladesh,Information Technology,0,0
Bangladesh,Community and Lifestyle,0,0
Bangladesh,Privacy and Security,0,0
Bangladesh,"Military, public safety and government",0,0
Bangladesh,Cyber Security,0,0
Bangladesh,Media and Entertainment,0,0
Belgium,Sports,0,0
Belize,Healthcare and Life Sciences,0,10
Belize,"Mobile, platforms & Internet services",0,10
Bolivia,Software,0,1
Bolivia,Other,0,0
Bolivia,"Sales, retail, commerce, marketing",0,0
Bolivia,Finance,0,0
Bolivia,All,0,1
Bosnia and Herzegovina,Finance,0,0
Bosnia and Herzegovina,Data and analytics,0,0
Bosnia and Herzegovina,"Sales, retail, commerce, marketing",0,0
Bosnia and Herzegovina,Other,0,0
Bosnia and Herzegovina,Information Technology,0,0
Bosnia and Herzegovina,Software,0,0
Bosnia and Herzegovina,All,0,1
Bosnia and Herzegovina,"Mobile, platforms & Internet services",0,0
Bosnia and Herzegovina,General purpose,0,0
Bosnia and Herzegovina,Transportation,0,0
Brazil,Facial Recognition,0,20
Bulgaria,Hardware,0,0
Bulgaria,Real estate,0,0
Bulgaria,Community and Lifestyle,0,9
Bulgaria,Lending and Investments,0,0
Bulgaria,Sports,0,0
Bulgaria,Manufacturing,0,0
Bulgaria,Computer Vision,0,0
Bulgaria,Education,0,0
Burkina Faso,Education,0,0
Burkina Faso,"Sales, retail, commerce, marketing",0,0
Burkina Faso,Lending and Investments,0,0
Burkina Faso,Finance,0,0
Burkina Faso,All,0,0
Burkina Faso,Transportation,0,0
Cambodia,Finance,0,0
Cambodia,All,0,0
Cambodia,Lending and Investments,0,0
Cambodia,Software,0,0
Cambodia,NLP,0,0
Cambodia,"Sales, retail, commerce, marketing",0,0
Cambodia,Data and analytics,0,0
Canada,Facial Recognition,0,2
Chile,Privacy and Security,0,0
Chile,Media and Entertainment,0,1
Chile,Navigation and mapping,0,0
Chile,Computer Vision,0,0
Chile,Cyber Security,0,0
Chile,Robotics,0,1
Colombia,Community and Lifestyle,0,5
Colombia,Agriculture,0,0
Colombia,Computer Vision,0,0
Colombia,Real estate,0,0
Colombia,"Military, public safety and government",0,0
Costa Rica,Lending and Investments,0,0
Costa Rica,Education,0,0
Costa Rica,Hardware,0,0
Croatia,Finance,0,168
Croatia,Healthcare and Life Sciences,0,0
Croatia,Robotics,0,0
Croatia,NLP,0,0
Croatia,Lending and Investments,0,0
Croatia,Sports,0,0
Croatia,Real estate,0,359
Cyprus,Professional services,0,0
Czechia,Biotechnology,0,20
Côte d'Ivoire,Data and analytics,0,0
Côte d'Ivoire,Software,0,0
Côte d'Ivoire,Privacy and Security,0,0
Côte d'Ivoire,General purpose,0,0
Côte d'Ivoire,Healthcare and Life Sciences,0,0
Côte d'Ivoire,Information Technology,0,0
Denmark,Semiconductor,0,0
Dominican Republic,Software,0,0
Dominican Republic,Data and analytics,0,0
Dominican Republic,Professional services,0,0
Dominican Republic,General purpose,0,0
Dominican Republic,Information Technology,0,0
Dominican Republic,NLP,0,0
Ecuador,"Sales, retail, commerce, marketing",0,3
Ecuador,Media and Entertainment,0,0
Ecuador,"Mobile, platforms & Internet services",0,0
Ecuador,Manufacturing,0,0
Ecuador,Other,0,0
Ecuador,Transportation,0,0
Ecuador,Professional services,0,0
Egypt,Energy and natural resources,0,0
Egypt,Real estate,0,3
Egypt,Sports,0,0
Egypt,Agriculture,0,1
Egypt,Robotics,0,2
Egypt,Lending and Investments,0,0
Egypt,Media and Entertainment,0,0
Egypt,NLP,0,0
El Salvador,Finance,0,0
Estonia,Speech Recognition,0,1
Estonia,Semiconductor,0,0
Estonia,Lending and Investments,0,1
Estonia,Biotechnology,0,2
Finland,Community and Lifestyle,0,0
Finland,Robotics,0,78
Finland,Speech Recognition,0,0
Finland,Simulation,0,0
Georgia,Information Technology,0,0
Georgia,Consumer goods,0,0
Georgia,Hardware,0,0
Georgia,"Mobile, platforms & Internet services",0,1
Ghana,Energy and natural resources,0,0
Ghana,Hardware,0,1
Ghana,Other,0,6
Ghana,Education,0,3
Ghana,Consumer goods,0,1
Ghana,Transportation,0,0
Ghana,"Mobile, platforms & Internet services",0,16
Ghana,"Sales, retail, commerce, marketing",0,1
Ghana,Information Technology,0,0
Greece,Healthcare and Life Sciences,0,3
Greece,Professional services,0,0
Greece,Consumer goods,0,56
Greece,Community and Lifestyle,0,0
Greece,Finance,0,54
Honduras,General purpose,0,0
Honduras,Media and Entertainment,0,0
Honduras,Data and analytics,0,0
Honduras,"Mobile, platforms & Internet services",0,0
Honduras,Software,0,0
Hungary,Finance,0,0
Hungary,Energy and natural resources,0,0
Iceland,"Military, public safety and government",0,4
Iceland,Transportation,0,4
Iceland,Energy and natural resources,0,1
Iceland,Agriculture,0,1
India,Facial Recognition,0,4
Indonesia,Community and Lifestyle,0,3
Indonesia,Navigation and mapping,0,0
Indonesia,Hardware,0,237
Indonesia,Computer Vision,0,6
Iran,Data and analytics,0,0
Iran,All,0,0
Iran,Other,0,0
Iran,Software,0,0
Iran,General purpose,0,0
Iran,Information Technology,0,0
Iraq,Education,0,0
Iraq,All,0,0
Iraq,Software,0,0
Jamaica,Other,0,0
Jamaica,Finance,0,0
Jamaica,Lending and Investments,0,0
Japan,Speech Recognition,0,1
Jordan,Other,0,0
Jordan,Finance,0,0
Jordan,Telecommunications,0,0
Jordan,Education,0,0
Jordan,"Sales, retail, commerce, marketing",0,0
Jordan,"Mobile, platforms & Internet services",0,0
Jordan,Media and Entertainment,0,1
Jordan,Transportation,0,0
Jordan,Lending and Investments,0,0
Kazakhstan,Media and Entertainment,0,1
Kazakhstan,Other,0,0
Kazakhstan,Education,0,0
Kazakhstan,Lending and Investments,0,0
Kazakhstan,Agriculture,0,0
Kazakhstan,"Sales, retail, commerce, marketing",0,1
Kenya,Hardware,0,3
Kenya,Manufacturing,0,0
Kenya,Media and Entertainment,0,0
Kenya,Telecommunications,0,0
Kenya,NLP,0,14
Kenya,Privacy and Security,0,0
Kenya,Real estate,0,0
Kenya,Consumer goods,0,0
Kenya,Professional services,0,0
Kenya,Cyber Security,0,0
Kenya,Energy and natural resources,0,0
Latvia,Real estate,0,0
Latvia,Energy and natural resources,0,0
Latvia,Manufacturing,0,0
Lebanon,Finance,0,0
Lebanon,NLP,0,0
Lebanon,"Mobile, platforms & Internet services",0,1
Lebanon,Robotics,0,0
Lebanon,Real estate,0,0
Lebanon,Hardware,0,0
Lebanon,Education,0,0
Lebanon,Media and Entertainment,0,1
Lebanon,"Sales, retail, commerce, marketing",0,0
Lithuania,"Military, public safety and government",0,0
Lithuania,Real estate,0,3
Lithuania,Speech Recognition,0,0
Luxembourg,Facial Recognition,0,0
Luxembourg,Healthcare and Life Sciences,0,0
Luxembourg,NLP,0,0
Luxembourg,Manufacturing,0,0
Malaysia,Education,0,7
Malaysia,Biotechnology,0,1
Malaysia,Privacy and Security,0,1
Malaysia,Agriculture,0,2
Malaysia,Speech Recognition,0,0
Malta,Professional services,0,4
Mauritius,Education,0,1
Mauritius,"Sales, retail, commerce, marketing",0,1
Mauritius,Information Technology,0,76
Mexico,Community and Lifestyle,0,0
Mexico,Energy and natural resources,0,0
Mexico,Agriculture,0,0
Mexico,Sports,0,0
Mexico,Manufacturing,0,0
Mexico,"Military, public safety and government",0,4
Mexico,Robotics,0,2
Mongolia,Information Technology,0,0
Mongolia,NLP,0,0
Mongolia,Education,0,0
Mongolia,Finance,0,0
Mongolia,"Mobile, platforms & Internet services",0,0
Mongolia,Healthcare and Life Sciences,0,0
Mongolia,General purpose,0,0
Mongolia,Other,0,0
Morocco,Software,0,3
Morocco,Transportation,0,0
Morocco,Healthcare and Life Sciences,0,0
Morocco,Data and analytics,0,3
Nigeria,Transportation,0,1
Nigeria,Robotics,0,0
Nigeria,Telecommunications,0,0
Nigeria,Community and Lifestyle,0,0
Nigeria,Professional services,0,2
Nigeria,Agriculture,0,4
Nigeria,Other,0,2
Nigeria,NLP,0,0
North Macedonia,Education,0,0
North Macedonia,Media and Entertainment,0,0
North Macedonia,"Sales, retail, commerce, marketing",0,0
North Macedonia,NLP,0,0
Oman,"Sales, retail, commerce, marketing",0,0
Oman,Data and analytics,0,0
Oman,General purpose,0,0
Oman,"Mobile, platforms & Internet services",0,0
Pakistan,Community and Lifestyle,0,2
Pakistan,Transportation,0,3
Pakistan,"Mobile, platforms & Internet services",0,6
Pakistan,Professional services,0,0
Pakistan,Healthcare and Life Sciences,0,2
Pakistan,Other,0,0
Panama,Gaming,0,0
Panama,"Sales, retail, commerce, marketing",0,0
Panama,Media and Entertainment,0,0
Paraguay,All,0,0
Paraguay,Data and analytics,0,0
Paraguay,General purpose,0,0
Paraguay,Agriculture,0,0
Paraguay,Software,0,0
Peru,Robotics,0,0
Peru,Biotechnology,0,0
Peru,Transportation,0,0
Peru,Information Technology,0,3
Peru,Healthcare and Life Sciences,0,1
Peru,"Sales, retail, commerce, marketing",0,0
Peru,"Mobile, platforms & Internet services",0,3
Peru,Media and Entertainment,0,1
Peru,Hardware,0,1
Peru,Professional services,0,0
Peru,Computer Vision,0,0
Philippines,Computer Vision,0,0
Philippines,Hardware,0,0
Philippines,Privacy and Security,0,0
Philippines,Energy and natural resources,0,0
Philippines,Healthcare and Life Sciences,0,0
Philippines,"Sales, retail, commerce, marketing",0,0
Philippines,Professional services,0,1
Philippines,Robotics,0,0
Philippines,Real estate,0,2
Poland,Facial Recognition,0,0
Poland,Speech Recognition,0,0
Poland,Lending and Investments,0,18
Portugal,Agriculture,0,0
Portugal,Speech Recognition,0,2
Portugal,Telecommunications,0,0
Portugal,Robotics,0,5
Qatar,NLP,0,0
Qatar,Robotics,0,0
Qatar,Cyber Security,0,0
Qatar,Hardware,0,125
Qatar,Privacy and Security,0,0
Romania,Manufacturing,0,0
Romania,Navigation and mapping,0,0
Romania,Computer Vision,0,0
Romania,Transportation,0,0
Romania,NLP,0,0
Russia,Sports,0,1
Russia,Telecommunications,0,0
Russia,Privacy and Security,0,0
Russia,Media and Entertainment,0,19
Russia,Biotechnology,0,1
Saint Kitts and Nevis,Hardware,0,0
Saint Kitts and Nevis,Media and Entertainment,0,0
Saint Kitts and Nevis,Gaming,0,0
Saint Kitts and Nevis,Consumer goods,0,0
Saudi Arabia,Navigation and mapping,0,16
Serbia,Navigation and mapping,0,0
Serbia,Finance,0,0
Serbia,Privacy and Security,0,0
Serbia,Professional services,0,0
Serbia,Speech Recognition,0,0
Serbia,Information Technology,0,44
Serbia,NLP,0,0
Seychelles,Media and Entertainment,0,0
Seychelles,Gaming,0,0
Slovakia,Community and Lifestyle,0,0
Slovakia,Simulation,0,0
Slovakia,Real estate,0,1
Slovenia,Information Technology,0,1
Slovenia,Transportation,0,1
Slovenia,Other,0,1
Slovenia,Finance,0,0
Slovenia,Simulation,0,1
Slovenia,Biotechnology,0,0
Slovenia,Privacy and Security,0,0
South Africa,Privacy and Security,0,56
South Africa,"Military, public safety and government",0,1
South Africa,Energy and natural resources,0,123
South Africa,Media and Entertainment,0,1
South Korea,Speech Recognition,0,0
South Korea,Simulation,0,4
Spain,Facial Recognition,0,21
Sri Lanka,Agriculture,0,0
Sri Lanka,Computer Vision,0,0
Sri Lanka,Telecommunications,0,0
Sri Lanka,Community and Lifestyle,0,0
Sri Lanka,Finance,0,1
Sri Lanka,Biotechnology,0,0
Sri Lanka,Energy and natural resources,0,0
Sweden,Telecommunications,0,0
Switzerland,Sports,0,24
Taiwan,Lending and Investments,0,14
Taiwan,Telecommunications,0,15
Taiwan,Gaming,0,10
Taiwan,Speech Recognition,0,0
Tanzania,"Mobile, platforms & Internet services",0,0
Tanzania,Software,0,0
Tanzania,General purpose,0,0
Tanzania,Healthcare and Life Sciences,0,0
Tanzania,Data and analytics,0,0
Tanzania,Education,0,0
Tanzania,All,0,1
Tanzania,"Sales, retail, commerce, marketing",0,0
Thailand,"Sales, retail, commerce, marketing",0,16
Thailand,Energy and natural resources,0,0
Thailand,Lending and Investments,0,0
Thailand,Professional services,0,3
Thailand,Real estate,0,1
Tunisia,Finance,0,0
Tunisia,Agriculture,0,0
Tunisia,Navigation and mapping,0,0
Tunisia,Energy and natural resources,0,0
Tunisia,Healthcare and Life Sciences,0,1
Tunisia,Education,0,0
Tunisia,Privacy and Security,0,0
Tunisia,Community and Lifestyle,0,0
Tunisia,Professional services,0,1
Tunisia,Other,0,0
Tunisia,Transportation,0,0
Tunisia,NLP,0,0
Turkey,Simulation,0,5
Uganda,Data and analytics,0,0
Uganda,Other,0,0
Uganda,Information Technology,0,0
Uganda,Finance,0,0
Uganda,Software,0,0
Uganda,Healthcare and Life Sciences,0,0
Uganda,Agriculture,0,0
Uganda,All,0,0
Uganda,General purpose,0,0
Uganda,"Mobile, platforms & Internet services",0,0
Ukraine,Lending and Investments,0,0
Ukraine,Other,0,125
Ukraine,Education,0,0
Ukraine,Healthcare and Life Sciences,0,0
Ukraine,Agriculture,0,0
Ukraine,Professional services,0,2
Ukraine,Biotechnology,0,0
Ukraine,Sports,0,0
Ukraine,Consumer goods,0,2
United Arab Emirates,"Military, public safety and government",0,1
United Arab Emirates,Telecommunications,0,3
United Arab Emirates,Agriculture,0,0
Uruguay,Community and Lifestyle,0,0
Uruguay,Finance,0,100
Uruguay,Lending and Investments,0,100
Uruguay,Consumer goods,0,0
Uruguay,Hardware,0,0
Uruguay,Professional services,0,101
Uruguay,"Mobile, platforms & Internet services",0,101
Uzbekistan,General purpose,0,0
Uzbekistan,Lending and Investments,0,1
Uzbekistan,"Mobile, platforms & Internet services",0,0
Uzbekistan,Other,0,0
Uzbekistan,Finance,0,1
Uzbekistan,Transportation,0,0
Uzbekistan,Data and analytics,0,0
Uzbekistan,Software,0,1
Uzbekistan,"Sales, retail, commerce, marketing",0,0
Vietnam,Community and Lifestyle,0,4
Vietnam,Energy and natural resources,0,0
Vietnam,Sports,0,0
Vietnam,Transportation,0,4
Vietnam,Consumer goods,0,11
Vietnam,Gaming,0,1
Vietnam,Healthcare and Life Sciences,0,2
Zambia,All,0,2
Zambia,"Mobile, platforms & Internet services",0,0
Zambia,Healthcare and Life Sciences,0,0
Zambia,General purpose,0,2
Zambia,Software,0,2
Zambia,Hardware,0,0
Zambia,Finance,0,0
Zambia,Other,0,0
Zambia,Agriculture,0,1
Zambia,Data and analytics,0,2
Zimbabwe,Healthcare and Life Sciences,0,0
Zimbabwe,Energy and natural resources,0,0
Argentina,Hardware,1,1
Argentina,Robotics,1,1
Argentina,Sports,1,1
Argentina,Education,1,556
Austria,Privacy and Security,1,344
Austria,Sports,1,1
Austria,Cyber Security,1,1
Austria,Community and Lifestyle,1,3
Bangladesh,"Mobile, platforms & Internet services",1,7
Belarus,General purpose,1,6
Belarus,Software,1,6
Belarus,Computer Vision,1,3
Belarus,Data and analytics,1,8
Belarus,Hardware,1,5
Belgium,Navigation and mapping,1,132
Belgium,Speech Recognition,1,1
Botswana,All,1,2
Botswana,Software,1,1
Botswana,Finance,1,1
Botswana,General purpose,1,1
Botswana,Data and analytics,1,1
Brazil,Gaming,1,4
Bulgaria,Media and Entertainment,1,1
Bulgaria,Privacy and Security,1,1
Bulgaria,Cyber Security,1,1
Chile,Gaming,1,1
Chile,Manufacturing,1,1
Chile,Biotechnology,1,10
Chile,Consumer goods,1,74
China (mainland),Simulation,1,8
Colombia,Healthcare and Life Sciences,1,1
Colombia,NLP,1,1
Colombia,Telecommunications,1,1
Costa Rica,Software,1,1
Costa Rica,"Mobile, platforms & Internet services",1,1
Costa Rica,Data and analytics,1,1
Costa Rica,Information Technology,1,1
Costa Rica,Finance,1,1
Costa Rica,General purpose,1,1
Costa Rica,Other,1,1
Croatia,Manufacturing,1,1
Croatia,Privacy and Security,1,1
Cyprus,Real estate,1,1
Czechia,"Military, public safety and government",1,1
Czechia,Energy and natural resources,1,3
Côte d'Ivoire,Finance,1,1
Côte d'Ivoire,All,1,1
Egypt,Manufacturing,1,1
Egypt,Healthcare and Life Sciences,1,3
Egypt,Transportation,1,2
El Salvador,All,1,2
El Salvador,Software,1,1
El Salvador,Data and analytics,1,1
El Salvador,General purpose,1,1
El Salvador,"Sales, retail, commerce, marketing",1,1
El Salvador,Other,1,1
Estonia,Navigation and mapping,1,1
Finland,Lending and Investments,1,993
Finland,Facial Recognition,1,1
Finland,Privacy and Security,1,1
Finland,Gaming,1,1
France,Gaming,1,9
France,Facial Recognition,1,1
Georgia,Data and analytics,1,3
Georgia,General purpose,1,3
Georgia,Software,1,3
Georgia,"Sales, retail, commerce, marketing",1,1
Greece,Manufacturing,1,1
Greece,Robotics,1,1
Honduras,All,1,1
Hungary,Cyber Security,1,1
Hungary,Gaming,1,2
Hungary,Privacy and Security,1,1
Hungary,Manufacturing,1,1
Hungary,Telecommunications,1,1
Hungary,Community and Lifestyle,1,1
Iceland,Computer Vision,1,1
Iceland,NLP,1,1
Iceland,Biotechnology,1,1
Iceland,Gaming,1,1
Iceland,Community and Lifestyle,1,1
Indonesia,Transportation,1,1
Indonesia,Media and Entertainment,1,4
Ireland,Gaming,1,4
Israel,Simulation,1,1
Italy,Simulation,1,3
Italy,Semiconductor,1,1
Italy,Lending and Investments,1,2
Japan,"Military, public safety and government",1,1
Jordan,General purpose,1,3
Jordan,Information Technology,1,1
Jordan,Community and Lifestyle,1,1
Kazakhstan,Finance,1,1
Kazakhstan,Privacy and Security,1,1
Kazakhstan,Hardware,1,1
Kenya,Education,1,6
Kenya,Lending and Investments,1,1
Kenya,Community and Lifestyle,1,1
Kenya,"Sales, retail, commerce, marketing",1,16
Kenya,Other,1,2
Latvia,Transportation,1,1
Latvia,"Mobile, platforms & Internet services",1,1
Latvia,"Sales, retail, commerce, marketing",1,1
Lebanon,Professional services,1,1
Lithuania,Energy and natural resources,1,1
Lithuania,Education,1,1
Lithuania,Manufacturing,1,1
Lithuania,Cyber Security,1,1
Lithuania,Media and Entertainment,1,6
Lithuania,Privacy and Security,1,1
Lithuania,Professional services,1,1
Lithuania,Consumer goods,1,3
Luxembourg,Sports,1,1
Luxembourg,Other,1,1
Malta,"Sales, retail, commerce, marketing",1,1
Malta,"Mobile, platforms & Internet services",1,1
Malta,Finance,1,1
Malta,Information Technology,1,37
Mexico,Navigation and mapping,1,1
Mexico,Biotechnology,1,2
Mongolia,Data and analytics,1,1
Mongolia,Software,1,1
Mongolia,All,1,1
Morocco,All,1,6
Morocco,General purpose,1,4
New Zealand,Real estate,1,198
New Zealand,Telecommunications,1,1
New Zealand,Sports,1,65
New Zealand,Biotechnology,1,261
Nigeria,Sports,1,1
Nigeria,Energy and natural resources,1,1
Nigeria,Healthcare and Life Sciences,1,6
North Macedonia,"Mobile, platforms & Internet services",1,1
North Macedonia,All,1,1
North Macedonia,Information Technology,1,1
North Macedonia,General purpose,1,1
North Macedonia,Software,1,1
North Macedonia,Data and analytics,1,1
Norway,Gaming,1,1
Norway,"Military, public safety and government",1,2
Pakistan,Education,1,1
Pakistan,NLP,1,1
Pakistan,Hardware,1,1
Peru,Agriculture,1,1
Poland,Navigation and mapping,1,21
