Country,CountryName,Year,AI_COMPOSITE,c_pat,c_pub,c_str,c_inf,c_ox
ARG,Argentina,2017,-0.12654345596670402,0.5853560978153519,0.006323425436455078,-0.8634791288514504,-0.23437421826717267,
ARG,Argentina,2018,-0.02350063710319198,0.6194657450000797,0.12018132963330716,-0.8634791288514504,0.02982950580529562,
ARG,Argentina,2019,0.44311600318995126,0.5087180264410547,0.06301324355185206,1.14202078331966,0.18484797557116717,0.3169799870660223
ARG,Argentina,2020,0.4379215813581861,0.7521321041901692,0.2223282473583607,1.14202078331966,0.5838291286613396,-0.5107023567385988
ARG,Argentina,2021,0.52746059352277,0.5171482381134763,0.18752396946847918,1.14202078331966,0.8117522738373706,-0.021142297125135823
ARG,Argentina,2022,0.5484175963594502,0.20461026641847857,0.018145134278266323,1.14202078331966,0.986689214462743,0.3906225833181032
ARG,Argentina,2023,0.5714752775544285,0.05838916778231962,0.14108950198762976,1.14202078331966,1.079411340753639,0.43646559392889434
ARG,Argentina,2024,0.5267079047058661,0.005251841655229569,0.12787784126474,1.14202078331966,1.1013096614977478,0.25707939579195366
BRA,Brazil,2017,-0.3195519207304929,-0.8105301055064115,1.2372172789135163,-0.8634791288514504,-0.8414157274776259,
BRA,Brazil,2018,-0.15150915234141543,-0.5179038925832032,1.392136135957225,-0.8634791288514504,-0.6167897238882332,
BRA,Brazil,2019,0.2700435263963907,0.18045257189265382,1.464264203951825,-0.8634791288514504,-0.39042747839723013,0.9594074633861552
BRA,Brazil,2020,0.12667256038539684,0.8217756355859992,1.5365345461600446,-0.8634791288514504,0.09630797837111882,-0.9577762293387281
BRA,Brazil,2021,1.001982601338701,1.243976052483605,1.5487883473061972,1.14202078331966,0.24307030226759158,0.8320575213164504
BRA,Brazil,2022,1.1645988314000517,1.8414012688877326,1.4544105135562544,1.14202078331966,0.317837416773371,1.0673241744632405
BRA,Brazil,2023,1.2629581152674927,1.811746148040729,1.5050092903995995,1.14202078331966,0.6076156299190569,1.248398724658418
BRA,Brazil,2024,1.2215287277979425,1.355514709082703,1.4408176602200802,1.14202078331966,0.6232522902587003,1.546038196108568
CHL,Chile,2017,-0.048756421503154845,0.5566888603666478,0.03427441023770535,-0.8634791288514504,0.07749017223447784,
CHL,Chile,2018,0.07877926366499727,0.7662128147032715,0.1539871034901638,-0.8634791288514504,0.2583962653180042,
