CountryName,Year,Z2
Argentina,2000,8.000735488027361
Argentina,2001,8.2076360006591
Argentina,2002,8.213038880795825
Argentina,2003,8.352105066970053
Argentina,2004,8.424079068645394
Argentina,2005,8.52185939965026
Argentina,2006,8.501241493688767
Argentina,2007,8.640522247813681
Argentina,2008,8.713793417539486
Argentina,2009,8.693938094795062
Argentina,2010,8.638152505727781
Argentina,2011,8.69610137305102
Argentina,2012,8.772059199601271
Argentina,2013,8.817328962948359
Argentina,2014,8.889055228923059
Argentina,2015,8.865498341239139
Argentina,2016,8.909205427532092
Argentina,2017,8.965677140670719
Argentina,2018,9.015159498784598
Argentina,2019,9.066406579829883
Argentina,2020,9.113020523183991
Argentina,2021,9.117069625126685
Argentina,2022,9.14146775547271
Brazil,2000,7.913033700414245
Brazil,2001,8.12280371708327
Brazil,2002,8.131294800812716
Brazil,2003,8.272001826366159
Brazil,2004,8.345175405267858
Brazil,2005,8.450869551997384
Brazil,2006,8.439805187894196
Brazil,2007,8.593454090285805
Brazil,2008,8.672155085860753
Brazil,2009,8.65943325709388
Brazil,2010,8.60840734745766
Brazil,2011,8.669970449999825
Brazil,2012,8.74637773690853
Brazil,2013,8.79855117625636
Brazil,2014,8.868461553494878
Brazil,2015,8.8370158483719
Brazil,2016,8.86712253171969
Brazil,2017,8.915831889854685
Brazil,2018,8.959659102846782
Brazil,2019,8.995139628879143
Brazil,2020,9.033093886084451
Brazil,2021,9.01650187219328
Brazil,2022,9.041736053562012
Chile,2000,8.082447847003444
Chile,2001,8.266285299464474
Chile,2002,8.27858179947866
Chile,2003,8.433156528656081
Chile,2004,8.509462405845753
Chile,2005,8.631286754163918
Chile,2006,8.617013684587695
Chile,2007,8.762248942187735
Chile,2008,8.835015512959945
Chile,2009,8.79448985544455
Chile,2010,8.746032398262791
Chile,2011,8.777891811923105
Chile,2012,8.83546333570963
Chile,2013,8.880548460342705
Chile,2014,8.959095109403169
Chile,2015,8.917287074008067
Chile,2016,8.974549461824672
Chile,2017,9.029094144163595
Chile,2018,9.068952250339615
Chile,2019,9.109083406349146
Chile,2020,9.15476960887915
Chile,2021,9.159601576102528
Chile,2022,9.188568491401778
Colombia,2000,7.888158605235035
Colombia,2001,8.0788099371768
Colombia,2002,8.082841343450756
Colombia,2003,8.234079647158717
Colombia,2004,8.316442002746982
Colombia,2005,8.425937281719925
Colombia,2006,8.433310309643167
Colombia,2007,8.586333707084599
Colombia,2008,8.664667843663015
Colombia,2009,8.652673312891027
Colombia,2010,8.60357900269316
Colombia,2011,8.665665341084502
Colombia,2012,8.747342807904046
Colombia,2013,8.797631371193724
Colombia,2014,8.8820955670736
Colombia,2015,8.863139132918226
Colombia,2016,8.889332356003656
Colombia,2017,8.943296063365306
Colombia,2018,8.98454222386967
Colombia,2019,9.022120547921398
Colombia,2020,9.056697357748087
Colombia,2021,9.039480075313577
Colombia,2022,9.062829451249584
Costa Rica,2000,8.008063134790014
Costa Rica,2001,8.207613715956601
Costa Rica,2002,8.210995684420244
Costa Rica,2003,8.351076824262627
Costa Rica,2004,8.422362858638113
Costa Rica,2005,8.531756278729125
Costa Rica,2006,8.528418991769767
Costa Rica,2007,8.687126235144694
Costa Rica,2008,8.774068103229755
Costa Rica,2009,8.761289276064648
Costa Rica,2010,8.702736998874974
Costa Rica,2011,8.762195347287339
Costa Rica,2012,8.821431003362843
Costa Rica,2013,8.867284901474903
Costa Rica,2014,8.944664945255575
Costa Rica,2015,8.89242584829623
Costa Rica,2016,8.939281188443697
Costa Rica,2017,8.975801409754894
Costa Rica,2018,9.014000882136513
Costa Rica,2019,9.045967023364799
Costa Rica,2020,9.07829490029225
Costa Rica,2021,9.091432525645082
Costa Rica,2022,9.111746692175576
Dominican Republic,2000,7.997812347075117
Dominican Republic,2001,8.14355684520725
Dominican Republic,2002,8.165402638853385
Dominican Republic,2003,8.358249545628382
Dominican Republic,2004,8.434215601621403
Dominican Republic,2005,8.544396979403547
Dominican Republic,2006,8.57589930598542
Dominican Republic,2007,8.734370316058026
Dominican Republic,2008,8.800423176485356
Dominican Republic,2009,8.774169954802707
Dominican Republic,2010,8.755597465504387
Dominican Republic,2011,8.804075194097667
Dominican Republic,2012,8.864964984857874
Dominican Republic,2013,8.885099169474127
Dominican Republic,2014,9.026425681400497
Dominican Republic,2015,9.039926385434633
Dominican Republic,2016,9.12605004552011
Dominican Republic,2017,9.174052396519595
Dominican Republic,2018,9.2196139485981
Dominican Republic,2019,9.267114238347649
Dominican Republic,2020,9.334933619338306
Dominican Republic,2021,9.343008524533454
Dominican Republic,2022,9.390781630314471
Mexico,2000,7.841652310868375
Mexico,2001,8.030721235026363
Mexico,2002,8.029584246672478
Mexico,2003,8.175681943673222
Mexico,2004,8.256498006107346
Mexico,2005,8.356485033243695
Mexico,2006,8.352747349498381
Mexico,2007,8.501370772122549
Mexico,2008,8.575744572212418
Mexico,2009,8.561076687970933
Mexico,2010,8.510417590467833
Mexico,2011,8.568253762085149
Mexico,2012,8.645765798990414
