iso3,country,year,rank,n_ranked,rank_pct,score_raw,score_100,score_scale,panel_a,panel_b,latam_panel,country_source,source_file,source_sheet
ARG,Argentina,2023,54,193,0.2760416666666667,57.72417372,57.72417372,0-100,1,1,1,Argentina,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ARG,Argentina,2024,62,188,0.32620320855614976,56.40407736,56.40407736,0-100,1,1,1,Argentina,2024-GAIRI-data.xlsx,Ranking
ARG,Argentina,2025,56,195,0.28350515463917525,58.25,58.25,0-100,1,1,1,Argentina,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ARM,Armenia,2019,81,194,0.41450777202072536,4.716286758407791,47.16286758407791,0-10,0,0,0,Armenia,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ARM,Armenia,2020,77,172,0.4444444444444444,42.717,42.717,0-100,0,0,0,Armenia,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARM,Armenia,2021,76,160,0.4716981132075472,45.92539398,45.92539398,0-100,0,0,0,Armenia,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARM,Armenia,2022,84,181,0.46111111111111114,41.91047934,41.91047934,0-100,0,0,0,Armenia,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ARM,Armenia,2023,85,193,0.4375,45.21531546,45.21531546,0-100,0,0,0,Armenia,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ARM,Armenia,2024,88,188,0.46524064171123,44.51279855,44.51279855,0-100,0,0,0,Armenia,2024-GAIRI-data.xlsx,Ranking
ARM,Armenia,2025,103,195,0.5257731958762887,38.95,38.95,0-100,0,0,0,Armenia,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ATG,Antigua and Barbuda,2019,144,194,0.7409326424870466,2.0989,20.989,0-10,0,0,0,Antigua and Barbuda,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ATG,Antigua and Barbuda,2020,88,172,0.5087719298245614,39.119,39.119,0-100,0,0,0,Antigua and Barbuda,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ATG,Antigua and Barbuda,2022,100,181,0.55,37.91159431,37.91159431,0-100,0,0,0,Antigua and Barbuda,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ATG,Antigua and Barbuda,2023,105,193,0.5416666666666666,39.41080516,39.41080516,0-100,0,0,0,Antigua and Barbuda,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ATG,Antigua and Barbuda,2024,103,188,0.5454545454545454,41.61237893,41.61237893,0-100,0,0,0,Antigua and Barbuda,2024-GAIRI-data.xlsx,Ranking
ATG,Antigua and Barbuda,2025,147,195,0.7525773195876289,25.04,25.04,0-100,0,0,0,Antigua and Barbuda,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
AUS,Australia,2019,11,194,0.05181347150259067,8.126228456656282,81.26228456656281,0-10,0,0,0,Australia,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AUS,Australia,2020,12,172,0.06432748538011696,73.577,73.577,0-100,0,0,0,Australia,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AUS,Australia,2021,14,160,0.08176100628930817,75.40980096,75.40980096,0-100,0,0,0,Australia,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AUS,Australia,2022,8,181,0.03888888888888889,75.29178001,75.29178001,0-100,0,0,0,Australia,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AUS,Australia,2023,12,193,0.057291666666666664,73.8886426,73.8886426,0-100,0,0,0,Australia,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AUS,Australia,2024,10,188,0.0481283422459893,76.44726827,76.44726827,0-100,0,0,0,Australia,2024-GAIRI-data.xlsx,Ranking
AUS,Australia,2025,9,195,0.041237113402061855,75.73,75.73,0-100,0,0,0,Australia,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
AUT,Austria,2019,16,194,0.07772020725388601,7.52715336234976,75.2715336234976,0-10,0,0,0,Austria,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AUT,Austria,2020,22,172,0.12280701754385964,68.23,68.23,0-100,0,0,0,Austria,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AUT,Austria,2021,24,160,0.14465408805031446,68.07358716,68.07358716,0-100,0,0,0,Austria,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AUT,Austria,2022,16,181,0.08333333333333333,71.49081059,71.49081059,0-100,0,0,0,Austria,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AUT,Austria,2023,15,193,0.07291666666666667,72.36579509,72.36579509,0-100,0,0,0,Austria,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AUT,Austria,2024,19,188,0.0962566844919786,72.83567415,72.83567415,0-100,0,0,0,Austria,2024-GAIRI-data.xlsx,Ranking
AUT,Austria,2025,20,195,0.0979381443298969,69.72,69.72,0-100,0,0,0,Austria,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
AZE,Azerbaijan,2019,64,194,0.32642487046632124,5.243887937285714,52.43887937285714,0-10,0,0,0,Azerbaijan,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AZE,Azerbaijan,2020,65,172,0.3742690058479532,46.437,46.437,0-100,0,0,0,Azerbaijan,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AZE,Azerbaijan,2021,67,160,0.41509433962264153,48.26467933,48.26467933,0-100,0,0,0,Azerbaijan,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AZE,Azerbaijan,2022,74,181,0.40555555555555556,45.55120353,45.55120353,0-100,0,0,0,Azerbaijan,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AZE,Azerbaijan,2023,73,193,0.375,48.15205153,48.15205153,0-100,0,0,0,Azerbaijan,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AZE,Azerbaijan,2024,111,188,0.5882352941176471,39.92386783,39.92386783,0-100,0,0,0,Azerbaijan,2024-GAIRI-data.xlsx,Ranking
AZE,Azerbaijan,2025,69,195,0.35051546391752575,51.91,51.91,0-100,0,0,0,Azerbaijan,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BDI,Burundi,2019,148,194,0.7616580310880829,2.054278916285714,20.54278916285714,0-10,0,0,0,Burundi,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BDI,Burundi,2020,167,172,0.9707602339181286,24.648,24.648,0-100,0,0,0,Burundi,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BDI,Burundi,2021,156,160,0.9748427672955975,23.7171165,23.7171165,0-100,0,0,0,Burundi,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BDI,Burundi,2022,173,181,0.9555555555555556,20.52919336,20.52919336,0-100,0,0,0,Burundi,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BDI,Burundi,2023,187,193,0.96875,20.87315154,20.87315154,0-100,0,0,0,Burundi,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BDI,Burundi,2024,182,188,0.9679144385026738,21.13442437,21.13442437,0-100,0,0,0,Burundi,2024-GAIRI-data.xlsx,Ranking
BDI,Burundi,2025,185,195,0.9484536082474226,17.22,17.22,0-100,0,0,0,Burundi,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BEL,Belgium,2019,24,194,0.11917098445595854,6.858571514206904,68.58571514206903,0-10,0,0,0,Belgium,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BEL,Belgium,2020,29,172,0.16374269005847952,63.137,63.137,0-100,0,0,0,Belgium,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BEL,Belgium,2021,28,160,0.16981132075471697,66.16481528,66.16481528,0-100,0,0,0,Belgium,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BEL,Belgium,2022,21,181,0.1111111111111111,69.94696786,69.94696786,0-100,0,0,0,Belgium,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BEL,Belgium,2023,28,193,0.140625,67.28440384,67.28440384,0-100,0,0,0,Belgium,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BEL,Belgium,2024,20,188,0.10160427807486631,72.68793041,72.68793041,0-100,0,0,0,Belgium,2024-GAIRI-data.xlsx,Ranking
BEL,Belgium,2025,30,195,0.14948453608247422,65.17,65.17,0-100,0,0,0,Belgium,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BEN,Benin,2019,106,194,0.5440414507772021,3.7303027367142856,37.30302736714285,0-10,0,0,0,Benin,SHARED_-2019-Index-data-for-report.xlsx,Rankings
