country_source,iso3,country,editions,n_editions
Fiji,FJI,Fiji,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Finland,FIN,Finland,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
France,FRA,France,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Gabon,GAB,Gabon,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Gambia,GMB,Gambia,"2019, 2020, 2021, 2022",4
Gambia (Republic of The),GMB,Gambia,"2023, 2024, 2025",3
Georgia,GEO,Georgia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Germany,DEU,Germany,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Ghana,GHA,Ghana,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Greece,GRC,Greece,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Grenada,GRD,Grenada,"2019, 2020, 2022, 2023, 2024, 2025",6
Guatemala,GTM,Guatemala,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Guinea,GIN,Guinea,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Guinea Bissau,GNB,Guinea Bissau,"2020, 2022, 2023, 2024, 2025",5
Guinea-Bissau,GNB,Guinea Bissau,2019,1
Guyana,GUY,Guyana,"2019, 2020, 2022, 2023, 2024, 2025",6
Haiti,HTI,Haiti,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Honduras,HND,Honduras,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Hungary,HUN,Hungary,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Iceland,ISL,Iceland,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
India,IND,India,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Indonesia,IDN,Indonesia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Iran,IRN,Iran,"2019, 2020, 2021, 2022",4
Iran (Islamic Republic of),IRN,Iran,"2023, 2024, 2025",3
Iraq,IRQ,Iraq,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Ireland,IRL,Ireland,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Israel,ISR,Israel,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Italy,ITA,Italy,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Jamaica,JAM,Jamaica,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Japan,JPN,Japan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Jordan,JOR,Jordan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Kazakhstan,KAZ,Kazakhstan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Kenya,KEN,Kenya,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Kiribati,KIR,Kiribati,"2019, 2020, 2022, 2023, 2024, 2025",6
Kuwait,KWT,Kuwait,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Kyrgyzstan,KGZ,Kyrgyzstan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Lao People's Democratic Republic,LAO,Lao People's Democratic Republic,"2020, 2021, 2022, 2023, 2024, 2025",6
Laos,LAO,Lao People's Democratic Republic,2019,1
Latvia,LVA,Latvia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Lebanon,LBN,Lebanon,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Lesotho,LSO,Lesotho,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Liberia,LBR,Liberia,"2019, 2021, 2022, 2023, 2024, 2025",6
Libya,LBY,Libya,"2019, 2022, 2023, 2024, 2025",5
Liechtenstein,LIE,Liechtenstein,"2019, 2023, 2024, 2025",4
Lithuania,LTU,Lithuania,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Luxembourg,LUX,Luxembourg,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Madagascar,MDG,Madagascar,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Malawi,MWI,Malawi,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Malaysia,MYS,Malaysia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Maldives,MDV,Maldives,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Mali,MLI,Mali,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Malta,MLT,Malta,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Marshall Islands,MHL,Marshall Islands,"2019, 2023, 2024, 2025",4
Mauritania,MRT,Mauritania,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Mauritius,MUS,Mauritius,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Mexico,MEX,Mexico,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Micronesia,FSM,Micronesia,2019,1
Micronesia (Federated States of),FSM,Micronesia,2025,1
Moldova,MDA,Moldova,2019,1
Republic of Moldova,MDA,Moldova,"2020, 2021, 2022, 2023, 2024, 2025",6
Monaco,MCO,Monaco,"2019, 2023, 2025",3
Mongolia,MNG,Mongolia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Montenegro,MNE,Montenegro,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Morocco,MAR,Morocco,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Mozambique,MOZ,Mozambique,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Myanmar,MMR,Myanmar,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Namibia,NAM,Namibia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Nauru,NRU,Nauru,"2019, 2023, 2025",3
Nepal,NPL,Nepal,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Netherlands,NLD,Netherlands,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
