ISO code,Country,Variable code,Variable name,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,1.76500678062439,1.59034287929535,1.43588697910309,1.38037741184235,1.25484418869019,1.21166741847992,1.20365309715271,1.1133588552475,1.07250034809113,1.08204805850983,1.10715007781982,1.12049341201782,1.14098703861237,1.19606745243073,1.24392485618591,1.23531043529511,1.21914172172546,1.1784029006958,1.03644669055939,0.747450411319733,0.717950105667114,0.766531407833099,0.781703889369965,0.791381597518921,0.765534818172455,0.738215208053589,0.748340308666229,0.762233734130859,0.857744872570038,0.860896289348602,0.919391989707947,1.02128803730011,1.10295712947845,1.21184015274048,1.26872968673706,1.20304989814758,1.20552384853363,1.18535494804382,1.22905147075653,1.23844516277313,1.24999237060547,1.21822094917297,1.15644598007202,1.1367621421814,1.10563504695892,1.07916951179504,1.01987659931183,1,1.00496304035187,0.99647456407547
ALB,Albania,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,0.728516757488251,0.733268022537231,0.727340340614319,0.719494223594666,0.712485730648041,0.70473438501358,0.699481248855591,0.695313572883606,0.667123377323151,0.630332410335541,0.584193110466003,0.565094590187073,0.571780204772949,0.538805186748505,0.508964002132416,0.53628408908844,0.47781977057457,0.348461359739304,0.391369670629501,0.443167686462402,0.441909343004227,0.514058768749237,0.542774856090546,0.47577440738678,0.513325989246368,0.573241055011749,0.593474924564362,0.631421685218811,0.656398355960846,0.683816969394684,0.708899140357971,0.738405704498291,0.775599122047424,0.80854332447052,0.93424779176712,0.951018512248993,1.01407527923584,1.09975254535675,0.992524564266205,1.00297772884369,1.08472156524658,1.04572379589081,0.982690036296845,0.972837686538696,0.960683524608612,0.943899869918823,0.967126965522766,1,0.995818436145783,1.02224159240723
ARG,Argentina,rtfpna,TFP at constant national prices (2021=1),1.30267095565796,1.331747174263,1.31603074073792,1.31452333927155,1.34623491764069,1.23810946941376,1.3019425868988,1.27740728855133,1.23744094371796,1.16485679149628,1.21279573440552,1.28079688549042,1.24735879898071,1.2474809885025,1.27328789234161,1.33828699588776,1.33235204219818,1.32948637008667,1.30747091770172,1.31545758247375,1.32857823371887,1.28347265720367,1.25412583351135,1.27490139007568,1.19904232025146,1.24139976501465,1.22521412372589,1.13660895824432,1.08502197265625,1.10328733921051,1.10344409942627,1.01574993133545,1.07079350948334,1.07870101928711,1.04036462306976,0.96187150478363,0.93828409910202,1.01589155197144,1.09718215465546,1.13671278953552,1.16406667232513,1.1340115070343,1.16158545017242,1.20058166980743,1.19322836399078,1.13370978832245,1.1124005317688,1.06899964809418,0.977898359298706,1.04200029373169,1.08728921413422,1.13138508796692,1.17605602741241,1.21843230724335,1.21485507488251,1.13139200210571,1.19824695587158,1.21756708621979,1.17649567127228,1.17210924625397,1.12293791770935,1.1200236082077,1.10642027854919,1.10694360733032,1.06310987472534,1.02767193317413,0.998763501644135,1,1.03932631015778,0.966590404510498
ARM,Armenia,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248969852924347,0.267070859670639,0.289783418178558,0.311624199151993,0.342078983783722,0.361468255519867,0.3872230052948,0.433463424444199,0.54924875497818,0.621858775615692,0.687704503536224,0.759512662887573,0.832199811935425,0.903846263885498,0.844108104705811,0.771467924118042,0.758426189422607,0.786062061786652,0.824808537960053,0.829167127609253,0.848457336425781,0.927691876888275,0.953782558441162,1.02724766731262,1.00393748283386,1.05110347270966,1.00862908363342,1,1.06905281543732,1.10736763477325
AUS,Australia,rtfpna,TFP at constant national prices (2021=1),0.723501682281494,0.729746520519257,0.71434623003006,0.717217683792114,0.751721322536469,0.780886352062225,0.772082090377808,0.768686830997467,0.786637127399445,0.805624604225159,0.815736591815949,0.800296068191528,0.810403048992157,0.815716981887817,0.838782429695129,0.862702906131744,0.856578230857849,0.856938481330872,0.855249404907227,0.860223114490509,0.840820968151093,0.855073571205139,0.859566569328308,0.846290946006775,0.857884228229523,0.854605257511139,0.844538807868958,0.846857130527496,0.819687962532044,0.85493928194046,0.854704856872559,0.852259457111359,0.831968486309052,0.849189460277557,0.84373927116394,0.831416070461273,0.81285548210144,0.824720621109009,0.850640773773193,0.865177989006043,0.866242468357086,0.865886986255646,0.8708136677742,0.88994711637497,0.90939736366272,0.918573915958405,0.905627310276032,0.92472505569458,0.937351763248444,0.948414981365204,0.953947186470032,0.947016716003418,0.954572319984436,0.955101728439331,0.941637814044952,0.944998383522034,0.955094218254089,0.958053410053253,0.959026873111725,0.965567171573639,0.970684289932251,0.981469571590424,0.983357310295105,0.991528213024139,0.986533045768738,0.96304589509964,0.981769025325775,1,1.00551331043243,1.00107288360596
AUT,Austria,rtfpna,TFP at constant national prices (2021=1),0.508814811706543,0.54067075252533,0.557430446147919,0.574842691421509,0.586617588996887,0.592157065868378,0.624787986278534,0.638320446014404,0.638897120952606,0.655917584896088,0.678575098514557,0.682037472724915,0.703323781490326,0.71656197309494,0.737253069877625,0.767662107944489,0.809764325618744,0.81834214925766,0.82866758108139,0.838570773601532,0.820137202739716,0.825302600860596,0.844558775424957,0.85776424407959,0.856206774711609,0.871554255485535,0.862181544303894,0.867010712623596,0.876389920711517,0.895828783512116,0.886356949806213,0.895241975784302,0.901690185070038,0.905742704868317,0.914937138557434,0.921602725982666,0.934565842151642,0.937688589096069,0.949859201908112,0.94605302810669,0.954965770244598,0.977885127067566,0.970433592796326,0.968802392482758,0.986943423748016,0.995542109012604,1.0033118724823,0.99993622303009,1.00216901302338,0.997881770133972,1.00533711910248,1.01685702800751,1.03241097927094,1.04898631572723,1.04021906852722,1.01182222366333,1.01781260967255,1.02433180809021,1.02321875095367,1.01338672637939,1.00937795639038,1.01672267913818,1.01506304740906,1.01973009109497,1.02002668380737,1.01509654521942,0.996166050434113,1,1.02490365505219,1.00125813484192
BDI,Burundi,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,,,,,,,1.43480384349823,1.52110171318054,1.46782064437866,1.44288372993469,1.37332689762115,1.48218834400177,1.50564074516296,1.51209366321564,1.54559314250946,1.52930283546448,1.57738208770752,1.64676916599274,1.65548145771027,1.62274205684662,1.57150590419769,1.35793042182922,1.25607120990753,1.27230083942413,1.29805159568787,1.23595535755157,1.20006883144379,1.2030109167099,1.22937762737274,1.17411172389984,1.16025590896606,1.11665081977844,1.12901759147644,1.11396610736847,1.10925889015198,1.09840321540833,1.08252418041229,1.06646132469177,1.06044888496399,1.06037557125092,1.05415463447571,1.01529049873352,1.02242946624756,1.02747702598572,1.02778553962708,1.02943980693817,1.01162385940552,1,0.977182745933533,0.962267816066742
BEL,Belgium,rtfpna,TFP at constant national prices (2021=1),0.519486844539642,0.53222531080246,0.542938768863678,0.545892953872681,0.545137584209442,0.563461244106293,0.581620514392853,0.601901769638062,0.620600044727325,0.638471186161041,0.668074369430542,0.681896865367889,0.689283788204193,0.708034694194794,0.732213020324707,0.757483065128326,0.794194877147675,0.80608206987381,0.840690791606903,0.875813364982605,0.892975866794586,0.87585723400116,0.906763434410095,0.904485523700714,0.914137721061707,0.916138887405396,0.944169938564301,0.94732141494751,0.953957676887512,0.951050579547882,0.95265805721283,0.950869381427765,0.959417045116425,0.96992415189743,0.990818798542023,1.00003743171692,0.997262120246887,1.0090708732605,1.01604998111725,1.01421797275543,1.03456926345825,1.02984273433685,1.0270174741745,1.04047381877899,1.0337780714035,1.04070711135864,1.03988838195801,1.02578663825989,1.02155303955078,1.01768970489502,1.03683698177338,1.03865361213684,1.03899335861206,1.05039525032043,1.03414726257324,1.0133513212204,1.02062141895294,1.01785659790039,1.010373711586,1.00736439228058,1.01438879966736,1.0154812335968,1.00793397426605,1.0015641450882,0.998752653598785,1.00136947631836,0.993591070175171,1,1.00572609901428,1.00189697742462
BEN,Benin,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,,,,,,,0.671195685863495,0.684849977493286,0.719289302825928,0.663750529289246,0.696293950080872,0.73416543006897,0.732509434223175,0.695537269115448,0.692956805229187,0.664228856563568,0.701991319656372,0.705420196056366,0.701796650886536,0.699490129947662,0.67317932844162,0.71242755651474,0.775665283203125,0.847217082977295,0.906433463096619,0.98523086309433,1.00063669681549,1.01743817329407,1.03205835819244,1.03131341934204,1.03747761249542,1.0221471786499,1.02788543701172,1.04676008224487,1.06211709976196,1.05985605716705,1.03580939769745,1.02008259296417,1.0259747505188,1.03571438789368,1.03946685791016,1.00200021266937,0.991382122039795,0.995367169380188,0.999161601066589,1.00038886070251,0.988274872303009,1,0.977467060089111,0.964366495609283
BFA,Burkina Faso,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,0.975848019123077,0.984991192817688,0.947149217128754,0.925748586654663,0.996389806270599,1.02475070953369,1.01837837696075,1.02294051647186,0.937038481235504,1.09929835796356,0.99205082654953,0.998791575431824,0.988374412059784,0.944486379623413,0.977158486843109,1.05261743068695,0.979980170726776,0.943472385406494,0.930239915847778,0.902944803237915,0.851047992706299,0.824756145477295,0.875422656536102,0.901695489883423,0.853279709815979,0.858255207538605,0.831828057765961,0.796220064163208,0.830898761749268,0.801154792308807,0.794275999069214,0.746792018413544,0.757836043834686,0.809600234031677,0.822598278522492,0.846366107463837,0.877851784229279,0.873875379562378,0.916795194149017,0.943532347679138,1.00111508369446,1.01609945297241,1.06860220432282,1.0952216386795,1.07741844654083,1.07747530937195,1.05439829826355,1.07949030399323,1.09666907787323,1.10498082637787,1.09804177284241,1.06850242614746,1.0481504201889,1.04192709922791,1.03562486171722,1.03368759155273,1.00586020946503,0.980266809463501,1,0.978806853294373,0.951508522033691
