cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
912505,ENEL AMERICAS S.A.,Chile,2018,20-F,256720,0,0,0,0,0,0,0,0.0,0.0
912505,ENEL AMERICAS S.A.,Chile,2019,20-F,267348,0,0,0,0,0,0,0,0.0,0.0
912505,ENEL AMERICAS S.A.,Chile,2020,20-F,287867,0,0,0,0,0,0,0,0.0,0.0
912505,ENEL AMERICAS S.A.,Chile,2021,20-F,363326,0,0,0,0,0,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2017,20-F,161411,0,0,0,0,1,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2018,20-F,163074,0,0,0,0,1,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2019,20-F,166623,0,0,0,0,1,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2020,20-F,169994,0,0,0,0,1,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2021,20-F,187053,0,0,0,0,0,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2022,20-F,186730,0,0,0,0,0,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2023,20-F,181250,0,0,0,0,1,0,0,0.0,0.0
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2024,20-F,176423,6,12,18,18,1,0,18,1.0203,1.0203
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2025,20-F,174877,8,14,22,29,0,0,22,1.258,1.258
913059,Banco BBVA Argentina S.A.,Argentina,2017,20-F,179286,0,0,0,0,1,0,0,0.0,0.0
913059,Banco BBVA Argentina S.A.,Argentina,2018,20-F,164269,2,0,2,3,0,0,2,0.1218,0.1218
913059,Banco BBVA Argentina S.A.,Argentina,2019,20-F,171538,2,0,2,2,0,0,2,0.1166,0.1166
913059,Banco BBVA Argentina S.A.,Argentina,2020,20-F,176348,2,0,2,3,1,2,0,0.0,0.1134
913059,Banco BBVA Argentina S.A.,Argentina,2021,20-F,185870,3,0,3,3,0,0,3,0.1614,0.1614
913059,Banco BBVA Argentina S.A.,Argentina,2022,20-F,184962,1,1,2,0,0,0,2,0.1081,0.1081
913059,Banco BBVA Argentina S.A.,Argentina,2023,20-F,192722,6,0,6,0,0,0,6,0.3113,0.3113
913059,Banco BBVA Argentina S.A.,Argentina,2024,20-F,190338,1,0,1,3,0,0,1,0.0525,0.0525
913059,Banco BBVA Argentina S.A.,Argentina,2025,20-F,201728,3,1,4,3,0,0,4,0.1983,0.1983
917851,Vale S.A.,Brazil,2021,20-F,193921,0,0,0,0,0,0,0,0.0,0.0
917851,Vale S.A.,Brazil,2022,20-F,181248,0,0,0,0,1,0,0,0.0,0.0
917851,Vale S.A.,Brazil,2023,20-F,187163,1,0,1,0,1,1,0,0.0,0.0534
917851,Vale S.A.,Brazil,2024,20-F,177366,2,0,2,1,1,2,0,0.0,0.1128
917851,Vale S.A.,Brazil,2025,20-F,170598,5,2,7,2,1,7,0,0.0,0.4103
925261,ANDINA BOTTLING CO INC,Chile,2017,20-F,114227,0,0,0,0,0,0,0,0.0,0.0
925261,ANDINA BOTTLING CO INC,Chile,2018,20-F,117999,0,0,0,0,0,0,0,0.0,0.0
925261,ANDINA BOTTLING CO INC,Chile,2019,20-F,111627,1,0,1,0,0,0,1,0.0896,0.0896
925261,ANDINA BOTTLING CO INC,Chile,2020,20-F,111146,1,0,1,0,0,0,1,0.09,0.09
925261,ANDINA BOTTLING CO INC,Chile,2021,20-F,139058,2,0,2,0,0,0,2,0.1438,0.1438
925261,ANDINA BOTTLING CO INC,Chile,2022,20-F,133239,2,0,2,0,0,0,2,0.1501,0.1501
925261,ANDINA BOTTLING CO INC,Chile,2023,20-F,138037,2,0,2,0,0,0,2,0.1449,0.1449
925261,ANDINA BOTTLING CO INC,Chile,2024,20-F,139576,5,0,5,0,0,0,5,0.3582,0.3582
925261,ANDINA BOTTLING CO INC,Chile,2025,20-F,146631,5,0,5,1,0,0,5,0.341,0.341
926864,ENEL GENERACION CHILE S.A.,Chile,2017,20-F,135670,0,0,0,0,0,0,0,0.0,0.0
926864,ENEL GENERACION CHILE S.A.,Chile,2018,20-F,127719,0,0,0,0,0,0,0,0.0,0.0
926864,ENEL GENERACION CHILE S.A.,Chile,2019,20-F,126109,0,0,0,0,0,0,0,0.0,0.0
930543,CONCHA Y TORO WINERY INC,Chile,2017,20-F,134133,0,0,0,0,0,0,0,0.0,0.0
930543,CONCHA Y TORO WINERY INC,Chile,2018,20-F,136047,1,0,1,0,1,1,0,0.0,0.0735
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2017,20-F,133332,0,0,0,0,1,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2018,20-F,144732,0,0,0,0,1,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2019,20-F,153608,0,0,0,0,0,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2020,20-F,164618,0,0,0,0,0,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2021,20-F,178263,0,0,0,0,1,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2022,20-F,173873,0,0,0,0,0,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2023,20-F,172871,0,0,0,0,0,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2024,20-F,173289,0,0,0,0,1,0,0,0.0,0.0
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,2025,20-F,169290,2,0,2,0,0,0,2,0.1181,0.1181
932470,TELECOM ARGENTINA SA,Argentina,2017,20-F,209130,0,1,1,0,1,0,1,0.0478,0.0478
932470,TELECOM ARGENTINA SA,Argentina,2018,20-F,206769,0,0,0,0,1,0,0,0.0,0.0
932470,TELECOM ARGENTINA SA,Argentina,2019,20-F,151135,0,0,0,0,1,0,0,0.0,0.0
932470,TELECOM ARGENTINA SA,Argentina,2020,20-F,163837,0,0,0,0,1,0,0,0.0,0.0
932470,TELECOM ARGENTINA SA,Argentina,2021,20-F,182301,0,0,0,0,0,0,0,0.0,0.0
