cik,name,country,fy,revenue,revenue_concept,cogs,cogs_concept,ppe_net,ppe_net_concept,assets,assets_concept,intangibles,intangibles_concept,goodwill,goodwill_concept,rnd,rnd_concept,liabilities,liabilities_concept,units
888746,UNITED BREWERIES CO INC,Chile,2024,2904566454000,ifrs-full:Revenue,1590957777000,ifrs-full:CostOfSales,1522708449000,ifrs-full:PropertyPlantAndEquipment,3989716990000,ifrs-full:Assets,244632721000,ifrs-full:IntangibleAssetsOtherThanGoodwill,161583233000,ifrs-full:Goodwill,,,2317201680000,ifrs-full:Liabilities,CLP
904851,YPF SOCIEDAD ANONIMA,Argentina,2016,210100000000,ifrs-full:Revenue,177304000000,ifrs-full:CostOfSales,308014000000,ifrs-full:PropertyPlantAndEquipment,421139000000,ifrs-full:Assets,8114000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,400000000,ifrs-full:ResearchAndDevelopmentExpense,302478000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2017,252813000000,ifrs-full:Revenue,211812000000,ifrs-full:CostOfSales,354443000000,ifrs-full:PropertyPlantAndEquipment,505718000000,ifrs-full:Assets,9976000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,449000000,ifrs-full:ResearchAndDevelopmentExpense,353185000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2018,435820000000,ifrs-full:Revenue,359570000000,ifrs-full:CostOfSales,699087000000,ifrs-full:PropertyPlantAndEquipment,994016000000,ifrs-full:Assets,20402000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,700000000,ifrs-full:ResearchAndDevelopmentExpense,631659000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2019,678595000000,ifrs-full:Revenue,575608000000,ifrs-full:CostOfSales,1069011000000,ifrs-full:PropertyPlantAndEquipment,1573289000000,ifrs-full:Assets,37179000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,1261000000,ifrs-full:ResearchAndDevelopmentExpense,1025190000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2020,9690000000,ifrs-full:Revenue,8663000000,ifrs-full:CostOfSales,16413000000,ifrs-full:PropertyPlantAndEquipment,22882000000,ifrs-full:Assets,465000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,22000000,ifrs-full:ResearchAndDevelopmentExpense,14751000000,ifrs-full:Liabilities,USD
904851,YPF SOCIEDAD ANONIMA,Argentina,2021,13682000000,ifrs-full:Revenue,10629000000,ifrs-full:CostOfSales,16003000000,ifrs-full:PropertyPlantAndEquipment,23290000000,ifrs-full:Assets,419000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,19000000,ifrs-full:ResearchAndDevelopmentExpense,15026000000,ifrs-full:Liabilities,USD
904851,YPF SOCIEDAD ANONIMA,Argentina,2022,18757000000,ifrs-full:Revenue,13684000000,ifrs-full:CostOfSales,17510000000,ifrs-full:PropertyPlantAndEquipment,25912000000,ifrs-full:Assets,384000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,27000000,ifrs-full:ResearchAndDevelopmentExpense,15360000000,ifrs-full:Liabilities,USD
904851,YPF SOCIEDAD ANONIMA,Argentina,2023,17311000000,ifrs-full:Revenue,13853000000,ifrs-full:CostOfSales,17712000000,ifrs-full:PropertyPlantAndEquipment,25035000000,ifrs-full:Assets,367000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,23000000,ifrs-full:ResearchAndDevelopmentExpense,15984000000,ifrs-full:Liabilities,USD
904851,YPF SOCIEDAD ANONIMA,Argentina,2024,19293000000,ifrs-full:Revenue,13910000000,ifrs-full:CostOfSales,18736000000,ifrs-full:PropertyPlantAndEquipment,29391000000,ifrs-full:Assets,491000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,40000000,ifrs-full:ResearchAndDevelopmentExpense,17521000000,ifrs-full:Liabilities,USD
904851,YPF SOCIEDAD ANONIMA,Argentina,2025,18448000000,ifrs-full:Revenue,13348000000,ifrs-full:CostOfSales,19085000000,ifrs-full:PropertyPlantAndEquipment,29439000000,ifrs-full:Assets,1068000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,28000000,ifrs-full:ResearchAndDevelopmentExpense,18395000000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2016,1939322000,ifrs-full:Revenue,1328285000,ifrs-full:CostOfSales,1532710000,ifrs-full:PropertyPlantAndEquipment,4217980000,ifrs-full:Assets,109439000,ifrs-full:IntangibleAssetsOtherThanGoodwill,37972000,ifrs-full:Goodwill,,,1910708000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2017,2157323000,ifrs-full:Revenue,1394822000,ifrs-full:CostOfSales,1429354000,ifrs-full:PropertyPlantAndEquipment,4296236000,ifrs-full:Assets,113787000,ifrs-full:IntangibleAssetsOtherThanGoodwill,37972000,ifrs-full:Goodwill,,,2048768000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2018,2265803000,ifrs-full:Revenue,1485631000,ifrs-full:CostOfSales,1454823000,ifrs-full:PropertyPlantAndEquipment,4268094000,ifrs-full:Assets,189350000,ifrs-full:IntangibleAssetsOtherThanGoodwill,34866000,ifrs-full:Goodwill,1.7,ifrs-full:ResearchAndDevelopmentExpense,2130292000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2019,1943655000,ifrs-full:Revenue,1383603000,ifrs-full:CostOfSales,1569906000,ifrs-full:PropertyPlantAndEquipment,4684151000,ifrs-full:Assets,188358000,ifrs-full:IntangibleAssetsOtherThanGoodwill,34726000,ifrs-full:Goodwill,1.7,ifrs-full:ResearchAndDevelopmentExpense,2549679000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2020,1817191000,ifrs-full:Revenue,1334321000,ifrs-full:CostOfSales,1737319000,ifrs-full:PropertyPlantAndEquipment,4818463000,ifrs-full:Assets,178407000,ifrs-full:IntangibleAssetsOtherThanGoodwill,41966000,ifrs-full:Goodwill,,,2655885000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2021,2862315000,ifrs-full:Revenue,1772208000,ifrs-full:CostOfSales,2012225000,ifrs-full:PropertyPlantAndEquipment,7180201000,ifrs-full:Assets,179658000,ifrs-full:IntangibleAssetsOtherThanGoodwill,34596000,ifrs-full:Goodwill,,,3964230000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2022,10710578000,ifrs-full:Revenue,4973953000,ifrs-full:CostOfSales,2726838000,ifrs-full:PropertyPlantAndEquipment,10819101000,ifrs-full:Assets,166336000,ifrs-full:IntangibleAssetsOtherThanGoodwill,967000,ifrs-full:Goodwill,,,5887100000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2023,7467490000,ifrs-full:Revenue,4392436000,ifrs-full:CostOfSales,3609937000,ifrs-full:PropertyPlantAndEquipment,10778837000,ifrs-full:Assets,155874000,ifrs-full:IntangibleAssetsOtherThanGoodwill,958000,ifrs-full:Goodwill,,,6301408000,ifrs-full:Liabilities,USD
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2024,4528761000,ifrs-full:Revenue,3201654000,ifrs-full:CostOfSales,4433645000,ifrs-full:PropertyPlantAndEquipment,11495569000,ifrs-full:Assets,167968000,ifrs-full:IntangibleAssetsOtherThanGoodwill,948000,ifrs-full:Goodwill,,,6297502000,ifrs-full:Liabilities,USD
909327,Suzano S.A.,Brazil,2016,9839162000,ifrs-full:RevenueFromContractsWithCustomers,6563080000,ifrs-full:CostOfSales,17020259000,ifrs-full:PropertyPlantAndEquipment,29371275000,ifrs-full:Assets,172947000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,19246286000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2017,10580673000,ifrs-full:RevenueFromContractsWithCustomers,6496304000,ifrs-full:CostOfSales,16211228000,ifrs-full:PropertyPlantAndEquipment,28526195000,ifrs-full:Assets,141785000,ifrs-full:IntangibleAssetsOtherThanGoodwill,45445000,ifrs-full:Goodwill,,,16909584000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2018,13443376000,ifrs-full:RevenueFromContractsWithCustomers,6922331000,ifrs-full:CostOfSales,17020259000,ifrs-full:PropertyPlantAndEquipment,53932644000,ifrs-full:Assets,180311000,ifrs-full:IntangibleAssetsOtherThanGoodwill,158334000,ifrs-full:Goodwill,,,41906709000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2019,26012950000,ifrs-full:RevenueFromContractsWithCustomers,20743482000,ifrs-full:CostOfSales,41120945000,ifrs-full:PropertyPlantAndEquipment,97908225000,ifrs-full:Assets,9649789000,ifrs-full:IntangibleAssetsOtherThanGoodwill,161462000,ifrs-full:Goodwill,,,79820256000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2020,30460277000,ifrs-full:RevenueFromContractsWithCustomers,18966331000,ifrs-full:CostOfSales,39156890000,ifrs-full:PropertyPlantAndEquipment,101800748000,ifrs-full:Assets,8741949000,ifrs-full:IntangibleAssetsOtherThanGoodwill,236360000,ifrs-full:Goodwill,,,94463370000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2021,40965431000,ifrs-full:RevenueFromContractsWithCustomers,20615588000,ifrs-full:CostOfSales,38169703000,ifrs-full:PropertyPlantAndEquipment,118975152000,ifrs-full:Assets,8014740000,ifrs-full:IntangibleAssetsOtherThanGoodwill,231743000,ifrs-full:Goodwill,,,103800022000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2022,49830946000,ifrs-full:RevenueFromContractsWithCustomers,24821288000,ifrs-full:CostOfSales,50656634000,ifrs-full:PropertyPlantAndEquipment,133197968000,ifrs-full:Assets,7173183000,ifrs-full:IntangibleAssetsOtherThanGoodwill,233399000,ifrs-full:Goodwill,,,100031603000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2023,39755575000,ifrs-full:RevenueFromContractsWithCustomers,25076675000,ifrs-full:CostOfSales,59289069000,ifrs-full:PropertyPlantAndEquipment,143593025000,ifrs-full:Assets,6557009000,ifrs-full:IntangibleAssetsOtherThanGoodwill,228887000,ifrs-full:Goodwill,,,98782725000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2024,47403282000,ifrs-full:RevenueFromContractsWithCustomers,27401527000,ifrs-full:CostOfSales,64986040000,ifrs-full:PropertyPlantAndEquipment,165936105000,ifrs-full:Assets,5709964000,ifrs-full:IntangibleAssetsOtherThanGoodwill,225486000,ifrs-full:Goodwill,,,133520530000,ifrs-full:Liabilities,BRL
909327,Suzano S.A.,Brazil,2025,50115679000,ifrs-full:RevenueFromContractsWithCustomers,33889504000,ifrs-full:CostOfSales,64296187000,ifrs-full:PropertyPlantAndEquipment,167935519000,ifrs-full:Assets,4778353000,ifrs-full:IntangibleAssetsOtherThanGoodwill,29384000,ifrs-full:Goodwill,,,123983346000,ifrs-full:Liabilities,BRL
