cik,name,country,sic,sic_desc,form,status,fy,revenue,cogs,assets,ppe_net,intangibles,goodwill,rnd,liabilities,currency,revenue_concept,employees,emp_matches,ai_exposure,ai_exposure_total,ai_total_mentions,filing_words,cur,revenue_usd,assets_usd,ppe_net_usd,intangibles_usd,goodwill_usd,rnd_usd,cogs_usd,ias29_ars,emp_min,emp_max,employees_clean,lprod,intang_int,rnd_int,size,sic2,exp,exp_tot
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2019,1822540697000.0,908318190000.0,2353690714000.0,1071730034000.0,125618666000.0,124955438000.0,,910763491000.0,CLP,ifrs-full:Revenue,6379.0,3.0,0.0658,0.0658,1.0,151880.0,CLP,2486021598.7831044,3210532396.610306,1461884509.3413851,171349104.79659966,170444434.115922,,1238983931.9497926,0,395.0,85000.0,6379.0,12.87318289392221,0.10646008097391846,,21.889702615977647,20,0.0658,0.0658
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2020,1857593678000.0,984035922000.0,2525336532000.0,1082515880000.0,128257441000.0,117190763000.0,,1116517857000.0,CLP,ifrs-full:Revenue,6468.0,3.0,0.0621,0.0621,1.0,161061.0,CLP,2219330390.991492,3017105505.5392246,1293318565.6626136,153233530.0519354,140011793.18687433,,1175661208.0383778,0,229.0,84000.0,6468.0,12.745849140955919,0.0971942554545835,,21.827563766859658,20,0.0621,0.0621
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2021,2484712280000.0,1291559797000.0,2846750637000.0,1222261454000.0,151943693000.0,131172835000.0,,1421235334000.0,CLP,ifrs-full:Revenue,6761.0,3.0,0.0497,0.0497,1.0,201267.0,CLP,2961536314.2674503,3393050960.8700027,1456817238.2318385,181102161.47175196,156345311.05465153,,1539414149.3369994,0,357.0,80000.0,6761.0,12.990047908635123,0.09945252117282657,,21.944995342049214,20,0.0497,0.0497
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2022,2711434948000.0,1514925309000.0,3595078979000.0,1356846302000.0,172389672000.0,136969434000.0,,2159109926000.0,CLP,ifrs-full:Revenue,6852.0,3.0,0.0,0.0482,1.0,207482.0,CLP,2600464071.0722938,3447943209.7209826,1301314664.0014124,165334281.24123207,131363687.04505903,,1452923972.7172656,0,417.0,85000.0,6852.0,12.846659895476552,0.08605071204473254,,21.96104371911366,20,0.0,0.0482
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2023,2565556067000.0,1378611966000.0,3423946280000.0,1273987695000.0,153123207000.0,127592056000.0,,2086563699000.0,CLP,ifrs-full:Revenue,6708.0,2.0,0.0472,0.0944,2.0,211860.0,CLP,2456807496.885376,3278812339.2965765,1219986014.0556889,146632633.65927106,122183694.89401563,,1320175480.446706,0,447.0,6708.0,6708.0,12.811072455626922,0.08198588413600928,,21.91074710209357,20,0.0472,0.0944
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2024,2904566454000.0,1590957777000.0,3989716990000.0,1522708449000.0,244632721000.0,161583233000.0,,2317201680000.0,CLP,ifrs-full:Revenue,6439.0,2.0,0.0471,0.0941,2.0,212474.0,CLP,2405388032.66388,3304044735.5733852,1261015968.636804,202590172.6851665,133813559.12931,,1317535975.8077443,0,532.0,6439.0,6439.0,12.830848544094371,0.10181573154641227,,21.918413232335933,20,0.0471,0.0941
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2017,252813000000.0,211812000000.0,505718000000.0,354443000000.0,9976000000.0,,449000000.0,353185000000.0,ARS,ifrs-full:Revenue,19072.0,2.0,0.0,0.0,0.0,238210.0,ARS,15263990429.984997,30533535507.55362,21400064711.763924,602317003.198136,,27109095.272249702,12788489282.41816,1,220.0,19072.0,19072.0,13.592785754820678,0.01972640878908799,0.0017760162649863734,24.142091441362894,29,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2018,435820000000.0,359570000000.0,994016000000.0,699087000000.0,20402000000.0,,700000000.0,631659000000.0,ARS,ifrs-full:Revenue,21314.0,1.0,0.0,0.0,0.0,264705.0,ARS,15142505050.943518,34536947135.78696,24289680208.684666,708864641.4789355,,24321402.26621188,12493209446.945438,1,21314.0,21314.0,21314.0,13.47365211759916,0.020524820526027752,0.0016061676839061996,24.265295519417787,29,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2019,678595000000.0,575608000000.0,1573289000000.0,1069011000000.0,37179000000.0,,1261000000.0,1025190000000.0,ARS,ifrs-full:Revenue,22932.0,1.0,0.0,0.0,0.0,283112.0,ARS,13513037880.078646,31329311081.441883,21287492741.945866,740355050.2780657,,25110619.39268514,11462231092.295567,1,22932.0,22932.0,22932.0,13.2866322312025,0.023631386223382986,0.0018582512396937791,24.167819952566987,29,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2020,9690000000.0,8663000000.0,22882000000.0,16413000000.0,465000000.0,,22000000.0,14751000000.0,USD,ifrs-full:Revenue,21314.0,1.0,0.0,0.0,0.0,301674.0,USD,9177381305.031294,21671500415.03881,15544722328.119572,440400650.86063486,,20836159.825664446,8204711480.442323,0,21314.0,21314.0,21314.0,12.972888327213445,0.020321650205401626,0.0022703818369453044,23.799263889370422,29,0.0,0.0
