cik,fy,form,employees,emp_matches,emp_min,emp_max
1027552,2020,20-F,10470,3,10470,10470
1027552,2021,20-F,9988,3,9988,9988
1027552,2022,20-F,9389,3,9389,9389
1027552,2023,20-F,9229,3,9229,9229
1027552,2024,20-F,8757,3,8757,8757
1027552,2025,20-F,8526,3,8526,8526
1034957,2017,20-F,1759,6,790,2635
1034957,2018,20-F,1771,7,812,3381
1034957,2019,20-F,1702,7,832,3370
1034957,2020,20-F,1496,7,701,3185
1034957,2021,20-F,1281,7,568,2544
1034957,2022,20-F,750,5,600,2750
1034957,2023,20-F,667,5,622,2706
1034957,2024,20-F,708,5,693,2867
1034957,2025,20-F,718,5,674,2889
1038572,2017,20-F,91106,1,91106,91106
1038572,2018,20-F,94119,2,500,94119
1038572,2019,20-F,44293,4,500,145506
1038572,2020,20-F,42548,3,500,53073
1038572,2021,20-F,41402,3,500,50515
1038572,2022,20-F,37325,2,500,37325
1038572,2023,20-F,39990,1,39990,39990
1041792,2019,20-F,7266,4,7095,7266
1041792,2020,20-F,6667,5,311,6832
1041792,2021,20-F,6538,4,6383,6538
1041792,2022,20-F,6029,4,5875,6029
1041792,2023,20-F,5954,4,5804,5954
1041792,2024,20-F,4389,2,4389,4389
1041792,2025,20-F,4276,1,4276,4276
1044896,2017,20-F,,0,,
1044896,2018,20-F,,0,,
1044896,2019,20-F,,0,,
1044896,2020,20-F,,0,,
1044896,2021,20-F,,0,,
1047716,2017,20-F,43095,5,43000,43593
1047716,2018,20-F,41000,3,41000,41097
1047716,2019,20-F,42000,3,41043,42000
1047716,2020,20-F,28400,3,28400,35717
1047716,2021,20-F,29100,5,28429,35281
1047716,2022,20-F,30877,8,3583,35281
1047716,2023,20-F,30877,7,1603,35568
1047716,2024,20-F,34174,4,2145,37355
1047716,2025,20-F,39877,2,34174,39877
1049659,2017,20-F,25189,2,1195,25189
1049659,2018,20-F,24857,2,1073,24857
1049659,2019,20-F,24869,2,984,24869
1049659,2020,20-F,23196,2,452,23196
1049659,2021,20-F,24660,2,257,24660
1049659,2022,20-F,26766,1,26766,26766
1049659,2023,20-F,29563,1,29563,29563
1049659,2024,20-F,8341,6,159,26766
1049659,2025,20-F,8151,6,197,26563
1061736,2017,20-F,,0,,
1061736,2018,20-F,,0,,
1061736,2019,20-F,2600,1,2600,2600
1061736,2020,20-F,,0,,
1061736,2021,20-F,,0,,
1061736,2022,20-F,,0,,
1061736,2023,20-F,86000,2,22000,86000
1061736,2024,20-F,93000,2,22000,93000
1061736,2025,20-F,90200,1,90200,90200
1066116,2017,20-F,9574,3,3200,9574
1066116,2018,20-F,9661,2,9661,9661
1066116,2019,20-F,9700,2,9700,9700
1066119,2017,20-F,33622,6,33331,33847
1066119,2018,20-F,33331,6,32638,33622
1066119,2019,20-F,32793,6,32638,33622
1066119,2020,20-F,32759,6,32638,32793
1066119,2021,20-F,32793,6,32759,33985
1066119,2022,20-F,33985,6,32759,34486
1066119,2023,20-F,34486,6,33985,35039
1066119,2024,20-F,35039,6,34486,35986
1066119,2025,20-F,35010,2,34986,35010
1071371,2017,20-F,13479,10,382,31061
1071371,2018,20-F,13328,10,551,31040
1071371,2019,20-F,20522,8,3020,31075
1071371,2020,20-F,12508,9,2969,30633
1071371,2021,20-F,20406,5,12498,31245
1071371,2022,20-F,33140,5,12740,33140
1071371,2023,20-F,14400,6,1156,34756
1071371,2024,20-F,34114,4,13729,34114
1071438,2019,20-F,339,4,297,830
1071438,2020,20-F,362,3,292,825
1071438,2021,20-F,303,5,303,939
1071438,2022,20-F,360,3,360,360
1071438,2023,20-F,366,3,366,366
1071438,2024,20-F,370,3,370,370
1071438,2025,20-F,352,3,352,352
1073404,2017,20-F,798,1,798,798
1073404,2018,20-F,6301,1,6301,6301
1073404,2019,20-F,6187,1,6187,6187
1073404,2020,20-F,5727,1,5727,5727
1073404,2021,20-F,5929,1,5929,5929
1073404,2022,20-F,6222,1,6222,6222
1073404,2023,20-F,6301,2,900,6301
1073404,2024,20-F,6477,2,600,6477
1073404,2025,20-F,6614,1,6614,6614
1076378,2017,20-F,40878,7,2000,56791
1076378,2018,20-F,42024,3,2000,42024
1076378,2019,20-F,40640,2,40640,40640
1076378,2020,20-F,41663,3,1189,41663
1076378,2021,20-F,46210,3,1125,46210
1076378,2022,20-F,4400,5,1162,43853
1076378,2023,20-F,46497,4,1235,46497
1076378,2024,20-F,45649,4,1251,45649
