cik,fy,form,employees,emp_matches,emp_min,emp_max
1713930,2018,20-F,5591,1,5591,5591
1713930,2019,20-F,5760,1,5760,5760
1713930,2020,20-F,5349,1,5349,5349
1713930,2021,20-F,5840,1,5840,5840
1713930,2022,20-F,5625,1,5625,5625
1713930,2023,20-F,5771,1,5771,5771
1713930,2024,20-F,500,3,250,5253
1713930,2025,20-F,5615,1,5615,5615
1716586,2017,20-F,,0,,
1716586,2018,20-F,,0,,
1717161,2017,20-F,738,4,732,740
1717161,2018,20-F,803,4,733,803
1717161,2019,20-F,894,4,738,894
1717161,2020,20-F,885,4,803,894
1717161,2021,20-F,885,3,861,894
1717161,2022,20-F,865,4,861,885
1717161,2023,20-F,1181,4,861,1181
1717161,2024,20-F,1324,4,865,1324
1717161,2025,20-F,1291,4,1269,1324
1717393,2017,20-F,5962,1,5962,5962
1717393,2018,20-F,5974,1,5974,5974
1717393,2019,20-F,,0,,
1717393,2020,20-F,,0,,
1717393,2021,20-F,6299,1,6299,6299
1717393,2022,20-F,5822,1,5822,5822
1717393,2023,20-F,,0,,
1717393,2024,20-F,,0,,
1717393,2025,20-F,,0,,
1740594,2018,20-F,284,3,207,603
1740594,2019,20-F,284,5,207,828
1740594,2020,20-F,355,5,284,1198
1740594,2021,20-F,436,5,355,1949
1740594,2022,20-F,563,5,436,2746
1745431,2018,20-F,1129,1,1129,1129
1745431,2019,20-F,2806,1,2806,2806
1745431,2020,20-F,1300,3,1300,2806
1745431,2021,20-F,1300,3,1300,3574
1745431,2022,20-F,8979,1,8979,8979
1745431,2023,20-F,1300,3,200,17685
1745431,2024,20-F,1600,3,200,16685
1745431,2025,20-F,16367,4,200,17091
1762506,2019,20-F,304,2,304,304
1762506,2020,20-F,382,2,382,382
1762506,2021,20-F,411,2,411,411
1762506,2022,20-F,465,2,465,465
1762506,2023,20-F,470,2,470,470
1762506,2024,20-F,528,2,528,528
1762506,2025,20-F,584,2,584,584
1769484,2019,20-F,409,6,409,409
1769484,2020,20-F,447,6,447,447
1769484,2021,20-F,497,2,497,497
1769484,2022,20-F,565,6,169,640
1769484,2023,20-F,790,2,790,790
1769484,2024,20-F,983,2,983,983
1769484,2025,20-F,751,2,751,751
1771007,2019,20-F,3444,2,3444,3444
1771007,2020,20-F,5260,2,5260,5260
1771007,2021,20-F,8079,2,8079,8079
1771007,2022,20-F,8708,2,8708,8708
1771007,2023,20-F,9680,2,9680,9680
1771007,2024,20-F,9717,2,9717,9717
1771007,2025,20-F,9395,2,9395,9395
1776967,2019,20-F,9111,6,2200,18585
1776967,2020,20-F,19151,6,2474,36223
1776967,2021,20-F,7208,3,3107,16718
1776967,2022,20-F,16681,6,3852,32398
1776967,2023,20-F,19955,3,5458,19955
1787425,2019,20-F,1593,5,975,2429
1787425,2020,20-F,2429,5,1593,3651
1787425,2021,20-F,3651,5,2429,6193
1787425,2022,20-F,6193,5,3651,6928
1787425,2023,20-F,6669,5,6192,6928
1787425,2024,20-F,6928,3,6669,6928
1787425,2025,20-F,36000,2,6669,36000
1788257,2019,20-F,,0,,
1788257,2021,20-F,,0,,
1788257,2022,20-F,,0,,
1788257,2023,20-F,,0,,
1788257,2024,20-F,,0,,
1788257,2025,20-F,,0,,
1792829,2020,20-F,1960,2,1960,1960
1792829,2021,20-F,788,2,300,788
1792829,2022,20-F,926,1,926,926
1792829,2023,20-F,2012,2,2012,2012
1792829,2024,20-F,1808,2,1808,1808
1793663,2021,20-F,592,3,214,1727
1793663,2022,20-F,438,3,169,1349
1793663,2023,20-F,417,3,138,1277
1793663,2024,20-F,504,3,137,1368
1793663,2025,20-F,1139,2,544,1139
1799207,2024,20-F,14842,4,200,14842
1799207,2025,20-F,437,5,248,15254
1805012,2020,20-F,6174,4,4150,6174
1805012,2021,20-F,6036,3,1000,6036
1805012,2022,20-F,10177,3,1000,10177
1805012,2023,20-F,10922,3,1000,10922
1819615,2020,10-K,,0,,
1819615,2021,10-K,560,2,560,560
1819615,2022,10-K,400,2,400,400
1819615,2023,10-K,296,2,296,296
1825570,2020,20-F,30000,2,176,30000
1825570,2021,20-F,30000,2,167,30000
1825570,2022,20-F,30000,2,158,30000
1825570,2023,20-F,30000,2,390,30000
1825570,2024,20-F,30000,2,385,30000
1825570,2025,20-F,30000,2,577,30000
1826168,2020,20-F,9421,2,9421,9421
1826168,2021,20-F,9337,3,140,9337
1826168,2022,20-F,9406,3,140,9406
1826168,2023,20-F,9275,3,600,9275
1826168,2024,20-F,9127,2,9127,9127
1826168,2025,20-F,8706,3,460,8706
1826286,2020,20-F,215,5,172,215
1826286,2021,20-F,244,3,177,244
1826286,2022,20-F,283,3,215,283
1826286,2023,20-F,275,3,244,275
1826286,2024,20-F,593,3,283,594
1826286,2025,20-F,594,3,275,594
1834048,2020,20-F,46409,2,500,46409
1834048,2021,20-F,60277,2,500,60277
1834048,2022,20-F,55979,4,500,73898
1834048,2023,20-F,77370,5,55979,80000
1834048,2024,20-F,80000,5,73898,86749
1836934,2021,20-F,470,8,108,1085
1836934,2022,20-F,470,5,108,1191
1836934,2023,20-F,1076,3,1017,1076
1836934,2024,20-F,956,4,803,1128
1846832,2021,20-F,,0,,
1846832,2022,20-F,,0,,
1846832,2023,20-F,280,3,245,291
1846832,2024,20-F,371,3,280,392
1846832,2025,20-F,458,3,371,470
1863362,2021,20-F,640,1,640,640
1863362,2022,20-F,670,1,670,670
1863362,2023,20-F,670,1,670,670
1863362,2024,20-F,670,1,670,670
1864163,2021,20-F,,0,,
1864163,2022,20-F,,0,,
1864163,2023,20-F,,0,,
1864163,2024,20-F,,0,,
1864163,2025,20-F,,0,,
1867325,2021,20-F,,0,,
1868995,2021,20-F,,0,,
1868995,2022,20-F,,0,,
1868995,2023,20-F,,0,,
1868995,2024,20-F,,0,,
1868995,2025,20-F,7993,2,6907,7993
1896049,2022,20-F,1000,2,500,1000
1937441,2022,20-F,5041,6,210,15000
1937441,2023,20-F,7089,5,7000,15000
1937441,2024,20-F,7400,5,958,7435
1945711,2023,20-F,2375,1,2375,2375
1945711,2024,20-F,3379,1,3379,3379
1945711,2025,20-F,3778,1,3778,3778
1965143,2023,20-F,603,1,603,603
1965143,2024,20-F,618,1,618,618
1965143,2025,20-F,1464,3,477,1764
1969373,2023,20-F,,0,,
1969373,2024,20-F,107,2,107,107
1969373,2025,20-F,116,2,116,116
1978954,2023,20-F,21924,2,21924,21924
1978954,2024,20-F,25300,2,25300,25300
1978954,2025,20-F,29202,2,29202,29202
