dep,moderator,b,se,t,p,N
GTFP_ML,RULE_OF_LAW,0.004587516783283526,0.007814832200591253,0.5870269080040446,0.5578162056588442,262
GTFP_ML,BROADBAND,-0.0004161986612573567,0.000724685537977477,-0.5743162233082841,0.5663834830942729,257
GTFP_ML,MOBILE,0.000237438184090712,7.706518123077179e-05,3.0810046806962412,0.002341938106539018,260
GTFP_ML,RENEW_L1,-0.0005402420611238624,0.00035908191253743307,-1.5045092561367708,0.1342737651366891,225
MALM_CRS,RULE_OF_LAW,-0.013026995273487645,0.00441308428065404,-2.951902670564221,0.0034927929145015025,279
MALM_CRS,BROADBAND,-0.0005493059782603444,0.00032702597132172785,-1.6797013889760386,0.09443491623840475,274
MALM_CRS,MOBILE,1.3540606114628102e-06,8.511346494589003e-05,0.015908888356544287,0.987321303126456,277
MALM_CRS,RENEW_L1,-2.8624808280556956e-05,0.00010013258270452116,-0.2858690698613579,0.7752965246605814,240
LN_TFP_SOLOW,RULE_OF_LAW,-0.06854013986495007,0.05154799798863196,-1.329637280580042,0.18498424433873353,279
LN_TFP_SOLOW,BROADBAND,0.0017030304951932392,0.0007238756779763896,2.3526560526996825,0.019522176560493758,274
LN_TFP_SOLOW,MOBILE,0.00036345081572998256,0.0002225345145984391,1.6332334621702402,0.10383098283671245,277
LN_TFP_SOLOW,RENEW_L1,-0.0005526880186149975,0.00018871291703937622,-2.928723837699332,0.003829169013930408,240
