,GTFP_ML,GTFP_ML,GTFP_ML,GTFP_ML,GTFP_ML,GTFP_ML,GTFP_ML,GTFP_ML,MALM_CRS,MALM_CRS,MALM_CRS,MALM_CRS,MALM_CRS,MALM_CRS,MALM_CRS,MALM_CRS,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_TFP_SOLOW,LN_AI,LN_AI,LN_AI,LN_AI,LN_AI,LN_AI,LN_AI,LN_AI,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,RULE_OF_LAW,BROADBAND,BROADBAND,BROADBAND,BROADBAND,BROADBAND,BROADBAND,BROADBAND,BROADBAND,RENEWABLES,RENEWABLES,RENEWABLES,RENEWABLES,RENEWABLES,RENEWABLES,RENEWABLES,RENEWABLES
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA,77.0,0.9885518085936896,0.03660390080706078,0.8257046672296652,0.974464267815872,0.9905150652803858,1.0051015035265232,1.1023485804871105,84.0,0.9876204101264257,0.03986487457740373,0.854414990412026,0.9611852203173046,0.9865008390661509,1.0110423209963644,1.0915093145785688,96.0,4.866111818466734,0.4441230645311058,3.5690890330856906,4.47916473742781,5.012996777252795,5.253213071041545,5.477416085522169,96.0,1.7167213958399523,1.2518829696520946,0.0673234001950979,0.5595986862228012,1.3474980302258566,2.753655857005186,4.352039440170927,96.0,91.29367916666666,133.46035903002252,6.0018,15.635475,21.09015,95.03365,477.5446,96.0,-0.44149714895833286,0.3347882749623617,-1.03931399999999,-0.7346548249999998,-0.5468997,-0.10932985,0.2800282,93.0,3.4101272826210005,3.82897619595372,0.0574013129864174,0.534823180349513,1.48254108303764,6.14617858388986,14.0829860846719,73.0,42.990410958904114,33.896825336369226,0.1,10.4,39.0,78.3,91.6
ASIA,70.0,0.9896118933964666,0.04464388538168656,0.8023747246408501,0.9817797081881763,0.9971926878028972,1.0054412893326319,1.085807380801617,77.0,0.9916913020927886,0.029891721281481428,0.891167992220122,0.9862017818826776,0.9966969769045148,1.0046846296093204,1.0546941081354608,88.0,5.009265106655041,0.2918746181568987,4.509149020144571,4.85097371092518,4.967789042297335,5.290085083076507,5.543853994584069,88.0,2.6554226353312576,0.8450452955275202,0.7129261658961732,2.090373124681058,2.585979248175688,3.087165055124524,4.720525445558097,88.0,1515.2485647727271,3380.499051655559,20.7971,150.75639999999999,253.6824,550.881525,13021.242,88.0,-0.3768091534090907,0.3420553499177403,-1.0042887,-0.6061621749999992,-0.3248896499999995,-0.146902425,0.3499706,88.0,10.304386298903097,9.311855131345226,0.881514330669917,3.6958953219004225,8.044009281106865,13.579740109818776,44.728886496649,66.0,24.533333333333335,13.52531908718816,1.8,14.975,25.1,32.8,49.3
LATAM,116.0,0.9959592239742142,0.045574321019833726,0.6933739595610916,0.9828640469529827,0.9970327892370388,1.0142557621078652,1.164189969251567,119.0,0.9963142470517437,0.04327028165169685,0.8550042146237904,0.9684897640257497,0.996457823370293,1.019194339268004,1.1134243874796377,136.0,5.298437846902593,0.389400344982688,4.549470414513506,5.126392580636217,5.32143715014949,5.577405810653889,6.045346261703131,135.0,1.7240179465893315,1.0146916436894944,0.0896107417478213,0.5776005709699737,1.8841971558535224,2.5292110833467807,3.3559223104006186,136.0,90.68408529411764,148.56100873776154,4.7462,8.459475,21.91755,87.71925,506.2334,136.0,-0.424327309938449,0.6024824602103095,-1.36633682250977,-0.8671436607837677,-0.49371945858001753,-0.2230724692344665,0.981475472450256,134.0,12.88831208955224,7.443325854676345,2.34145,7.2266775,12.266,17.36525,33.4866,102.0,33.1421568627451,17.900082616516627,9.2,16.924999999999997,28.25,49.35,65.5
